X1.browser,X1.duration,X1.endTime,X1.feedback,X1.isi,X1.judgment,X1.startTime,X1.subjectID,X1.type
Firefox,750,null,null,1039,76,2019-07-09T23:18:34.129Z,A3681W483PXK3P,spikey
Firefox,525,null,null,987,83,2019-07-09T23:18:34.129Z,A3681W483PXK3P,red
Firefox,825,null,null,1038,76,2019-07-09T23:18:34.129Z,A3681W483PXK3P,odd
Firefox,450,null,null,1000,83,2019-07-09T23:18:34.129Z,A3681W483PXK3P,red
Firefox,600,null,null,954,83,2019-07-09T23:18:34.129Z,A3681W483PXK3P,red
Firefox,1050,null,null,987,76,2019-07-09T23:18:34.129Z,A3681W483PXK3P,spikey
Firefox,675,null,null,1049,83,2019-07-09T23:18:34.129Z,A3681W483PXK3P,odd
Firefox,900,null,null,1043,76,2019-07-09T23:18:34.129Z,A3681W483PXK3P,odd
Firefox,975,null,null,956,76,2019-07-09T23:18:34.129Z,A3681W483PXK3P,spikey
Firefox,825,null,null,954,76,2019-07-09T23:18:34.129Z,A3681W483PXK3P,spikey
Firefox,1050,null,null,1027,76,2019-07-09T23:18:34.129Z,A3681W483PXK3P,odd
Firefox,975,null,null,1034,83,2019-07-09T23:18:34.129Z,A3681W483PXK3P,red
Firefox,450,null,null,1034,83,2019-07-09T23:18:34.129Z,A3681W483PXK3P,odd
Firefox,750,null,null,994,83,2019-07-09T23:18:34.129Z,A3681W483PXK3P,odd
Firefox,600,null,null,996,83,2019-07-09T23:18:34.129Z,A3681W483PXK3P,red
Firefox,900,null,null,1013,76,2019-07-09T23:18:34.129Z,A3681W483PXK3P,spikey
Firefox,675,null,null,1024,83,2019-07-09T23:18:34.129Z,A3681W483PXK3P,red
Firefox,525,null,null,951,83,2019-07-09T23:18:34.129Z,A3681W483PXK3P,spikey
Firefox,450,null,null,1033,83,2019-07-09T23:18:34.129Z,A3681W483PXK3P,odd
Firefox,825,null,null,950,76,2019-07-09T23:18:34.129Z,A3681W483PXK3P,spikey
Firefox,675,null,null,968,83,2019-07-09T23:18:34.129Z,A3681W483PXK3P,red
Firefox,600,null,null,1014,76,2019-07-09T23:18:34.129Z,A3681W483PXK3P,spikey
Firefox,975,null,null,1003,76,2019-07-09T23:18:34.129Z,A3681W483PXK3P,odd
Firefox,1050,null,null,973,76,2019-07-09T23:18:34.129Z,A3681W483PXK3P,odd
Firefox,525,null,null,1026,83,2019-07-09T23:18:34.129Z,A3681W483PXK3P,red
Firefox,900,null,null,1002,83,2019-07-09T23:18:34.129Z,A3681W483PXK3P,red
Firefox,750,2019-07-09T23:28:54.076Z,,1016,83,2019-07-09T23:18:34.129Z,A3681W483PXK3P,spikey
