X1.browser,X1.duration,X1.endTime,X1.feedback,X1.isi,X1.judgment,X1.startTime,X1.subjectID,X1.type
Chrome,825,null,null,976,83,2019-07-10T17:27:20.130Z,A379F1RR5E3SVU,odd
Chrome,525,null,null,1026,83,2019-07-10T17:27:20.130Z,A379F1RR5E3SVU,red
Chrome,750,null,null,1049,76,2019-07-10T17:27:20.130Z,A379F1RR5E3SVU,red
Chrome,1050,null,null,1004,76,2019-07-10T17:27:20.130Z,A379F1RR5E3SVU,odd
Chrome,675,null,null,1013,83,2019-07-10T17:27:20.130Z,A379F1RR5E3SVU,spikey
Chrome,450,null,null,994,83,2019-07-10T17:27:20.130Z,A379F1RR5E3SVU,red
Chrome,975,null,null,1023,76,2019-07-10T17:27:20.130Z,A379F1RR5E3SVU,odd
Chrome,900,null,null,1001,83,2019-07-10T17:27:20.130Z,A379F1RR5E3SVU,spikey
Chrome,600,null,null,1014,83,2019-07-10T17:27:20.130Z,A379F1RR5E3SVU,spikey
Chrome,600,null,null,1048,83,2019-07-10T17:27:20.130Z,A379F1RR5E3SVU,red
Chrome,750,null,null,1009,83,2019-07-10T17:27:20.130Z,A379F1RR5E3SVU,spikey
Chrome,450,null,null,1028,83,2019-07-10T17:27:20.130Z,A379F1RR5E3SVU,red
Chrome,975,null,null,965,76,2019-07-10T17:27:20.130Z,A379F1RR5E3SVU,red
Chrome,825,null,null,970,83,2019-07-10T17:27:20.130Z,A379F1RR5E3SVU,odd
Chrome,900,null,null,1036,83,2019-07-10T17:27:20.130Z,A379F1RR5E3SVU,odd
Chrome,525,null,null,970,83,2019-07-10T17:27:20.130Z,A379F1RR5E3SVU,spikey
Chrome,675,null,null,1030,83,2019-07-10T17:27:20.130Z,A379F1RR5E3SVU,odd
Chrome,1050,null,null,1018,76,2019-07-10T17:27:20.130Z,A379F1RR5E3SVU,spikey
Chrome,975,null,null,964,76,2019-07-10T17:27:20.130Z,A379F1RR5E3SVU,spikey
Chrome,1050,null,null,1005,76,2019-07-10T17:27:20.130Z,A379F1RR5E3SVU,odd
Chrome,900,null,null,980,83,2019-07-10T17:27:20.130Z,A379F1RR5E3SVU,odd
Chrome,675,null,null,1039,83,2019-07-10T17:27:20.130Z,A379F1RR5E3SVU,spikey
Chrome,750,null,null,1009,83,2019-07-10T17:27:20.130Z,A379F1RR5E3SVU,red
Chrome,450,null,null,956,83,2019-07-10T17:27:20.130Z,A379F1RR5E3SVU,red
Chrome,525,null,null,973,83,2019-07-10T17:27:20.130Z,A379F1RR5E3SVU,red
Chrome,825,null,null,1011,83,2019-07-10T17:27:20.130Z,A379F1RR5E3SVU,odd
Chrome,600,2019-07-10T17:38:54.398Z,,1045,83,2019-07-10T17:27:20.130Z,A379F1RR5E3SVU,spikey
