X1.browser,X1.duration,X1.endTime,X1.feedback,X1.isi,X1.judgment,X1.startTime,X1.subjectID,X1.type
Chrome,1050,null,null,1027,83,2019-07-12T19:15:56.666Z,A3CH1Z6J9R38G9,odd
Chrome,1050,null,null,1031,83,2019-07-12T19:15:56.666Z,A3CH1Z6J9R38G9,odd
Chrome,1050,null,null,1045,83,2019-07-12T19:15:56.666Z,A3CH1Z6J9R38G9,red
Chrome,1050,null,null,1023,76,2019-07-12T19:15:56.666Z,A3CH1Z6J9R38G9,red
Chrome,1050,null,null,1011,83,2019-07-12T19:15:56.666Z,A3CH1Z6J9R38G9,red
Chrome,1050,null,null,1045,76,2019-07-12T19:15:56.666Z,A3CH1Z6J9R38G9,spikey
Chrome,1050,null,null,960,76,2019-07-12T19:15:56.666Z,A3CH1Z6J9R38G9,odd
Chrome,1050,null,null,988,83,2019-07-12T19:15:56.666Z,A3CH1Z6J9R38G9,spikey
Chrome,1050,null,null,1036,83,2019-07-12T19:15:56.666Z,A3CH1Z6J9R38G9,spikey
Chrome,1050,null,null,1038,83,2019-07-12T19:15:56.666Z,A3CH1Z6J9R38G9,odd
Chrome,1050,null,null,988,83,2019-07-12T19:15:56.666Z,A3CH1Z6J9R38G9,spikey
Chrome,1050,null,null,973,83,2019-07-12T19:15:56.666Z,A3CH1Z6J9R38G9,red
Chrome,1050,null,null,978,83,2019-07-12T19:15:56.666Z,A3CH1Z6J9R38G9,red
Chrome,1050,null,null,1000,83,2019-07-12T19:15:56.666Z,A3CH1Z6J9R38G9,odd
Chrome,1050,null,null,979,83,2019-07-12T19:15:56.666Z,A3CH1Z6J9R38G9,spikey
Chrome,1050,null,null,1012,83,2019-07-12T19:15:56.666Z,A3CH1Z6J9R38G9,spikey
Chrome,1050,null,null,1014,76,2019-07-12T19:15:56.666Z,A3CH1Z6J9R38G9,red
Chrome,1050,null,null,950,83,2019-07-12T19:15:56.666Z,A3CH1Z6J9R38G9,odd
Chrome,1050,null,null,1043,83,2019-07-12T19:15:56.666Z,A3CH1Z6J9R38G9,spikey
Chrome,1050,null,null,1023,83,2019-07-12T19:15:56.666Z,A3CH1Z6J9R38G9,red
Chrome,1050,null,null,951,76,2019-07-12T19:15:56.666Z,A3CH1Z6J9R38G9,red
Chrome,1050,null,null,953,83,2019-07-12T19:15:56.666Z,A3CH1Z6J9R38G9,odd
Chrome,1050,null,null,964,83,2019-07-12T19:15:56.666Z,A3CH1Z6J9R38G9,spikey
Chrome,1050,null,null,971,83,2019-07-12T19:15:56.666Z,A3CH1Z6J9R38G9,spikey
Chrome,1050,null,null,972,83,2019-07-12T19:15:56.666Z,A3CH1Z6J9R38G9,odd
Chrome,1050,null,null,968,76,2019-07-12T19:15:56.666Z,A3CH1Z6J9R38G9,red
Chrome,1050,2019-07-12T19:32:45.838Z,,1029,83,2019-07-12T19:15:56.666Z,A3CH1Z6J9R38G9,odd
