X1.browser,X1.duration,X1.endTime,X1.feedback,X1.isi,X1.judgment,X1.startTime,X1.subjectID,X1.type
Chrome,600,null,null,1039,83,2019-07-12T16:39:19.658Z,A3NPLNYOYWPUZ3,red
Chrome,525,null,null,1037,76,2019-07-12T16:39:19.658Z,A3NPLNYOYWPUZ3,odd
Chrome,450,null,null,973,83,2019-07-12T16:39:19.658Z,A3NPLNYOYWPUZ3,spikey
Chrome,1050,null,null,1032,76,2019-07-12T16:39:19.658Z,A3NPLNYOYWPUZ3,spikey
Chrome,900,null,null,1021,76,2019-07-12T16:39:19.658Z,A3NPLNYOYWPUZ3,spikey
Chrome,975,null,null,966,83,2019-07-12T16:39:19.658Z,A3NPLNYOYWPUZ3,odd
Chrome,750,null,null,1038,83,2019-07-12T16:39:19.658Z,A3NPLNYOYWPUZ3,red
Chrome,675,null,null,1045,76,2019-07-12T16:39:19.658Z,A3NPLNYOYWPUZ3,odd
Chrome,825,null,null,954,83,2019-07-12T16:39:19.658Z,A3NPLNYOYWPUZ3,red
Chrome,675,null,null,1013,83,2019-07-12T16:39:19.658Z,A3NPLNYOYWPUZ3,spikey
Chrome,600,null,null,994,83,2019-07-12T16:39:19.658Z,A3NPLNYOYWPUZ3,red
Chrome,975,null,null,997,76,2019-07-12T16:39:19.658Z,A3NPLNYOYWPUZ3,odd
Chrome,525,null,null,951,83,2019-07-12T16:39:19.658Z,A3NPLNYOYWPUZ3,spikey
Chrome,825,null,null,1038,83,2019-07-12T16:39:19.658Z,A3NPLNYOYWPUZ3,spikey
Chrome,450,null,null,985,83,2019-07-12T16:39:19.658Z,A3NPLNYOYWPUZ3,odd
Chrome,900,null,null,1021,83,2019-07-12T16:39:19.658Z,A3NPLNYOYWPUZ3,red
Chrome,1050,null,null,990,76,2019-07-12T16:39:19.658Z,A3NPLNYOYWPUZ3,odd
Chrome,750,null,null,1030,76,2019-07-12T16:39:19.658Z,A3NPLNYOYWPUZ3,red
Chrome,900,null,null,1025,76,2019-07-12T16:39:19.658Z,A3NPLNYOYWPUZ3,spikey
Chrome,975,null,null,1030,76,2019-07-12T16:39:19.658Z,A3NPLNYOYWPUZ3,odd
Chrome,1050,null,null,1019,83,2019-07-12T16:39:19.658Z,A3NPLNYOYWPUZ3,red
Chrome,825,null,null,998,76,2019-07-12T16:39:19.658Z,A3NPLNYOYWPUZ3,odd
Chrome,600,null,null,1047,83,2019-07-12T16:39:19.658Z,A3NPLNYOYWPUZ3,odd
Chrome,675,null,null,1005,83,2019-07-12T16:39:19.658Z,A3NPLNYOYWPUZ3,red
Chrome,750,null,null,1012,76,2019-07-12T16:39:19.658Z,A3NPLNYOYWPUZ3,red
Chrome,450,null,null,961,83,2019-07-12T16:39:19.658Z,A3NPLNYOYWPUZ3,spikey
Chrome,525,2019-07-12T16:49:46.891Z,,995,83,2019-07-12T16:39:19.658Z,A3NPLNYOYWPUZ3,spikey
