X1.browser,X1.duration,X1.endTime,X1.feedback,X1.isi,X1.judgment,X1.startTime,X1.subjectID,X1.type,X1.correct
Chrome,675,null,null,986,83,2019-07-11T18:56:19.444Z,A3QNCW3LR2AVOV,red,0
Chrome,525,null,null,981,83,2019-07-11T18:56:19.444Z,A3QNCW3LR2AVOV,red,0
Chrome,600,null,null,1042,83,2019-07-11T18:56:19.444Z,A3QNCW3LR2AVOV,odd,0
Chrome,750,null,null,1026,76,2019-07-11T18:56:19.444Z,A3QNCW3LR2AVOV,spikey,1
Chrome,1050,null,null,966,76,2019-07-11T18:56:19.444Z,A3QNCW3LR2AVOV,odd,1
Chrome,975,null,null,1015,83,2019-07-11T18:56:19.444Z,A3QNCW3LR2AVOV,spikey,0
Chrome,450,null,null,984,83,2019-07-11T18:56:19.444Z,A3QNCW3LR2AVOV,odd,0
Chrome,900,null,null,1009,76,2019-07-11T18:56:19.444Z,A3QNCW3LR2AVOV,red,1
Chrome,825,null,null,964,83,2019-07-11T18:56:19.444Z,A3QNCW3LR2AVOV,spikey,0
Chrome,825,null,null,1047,76,2019-07-11T18:56:19.444Z,A3QNCW3LR2AVOV,spikey,1
Chrome,450,null,null,980,83,2019-07-11T18:56:19.444Z,A3QNCW3LR2AVOV,spikey,0
Chrome,750,null,null,1004,83,2019-07-11T18:56:19.444Z,A3QNCW3LR2AVOV,red,0
Chrome,675,null,null,987,76,2019-07-11T18:56:19.444Z,A3QNCW3LR2AVOV,odd,1
Chrome,600,null,null,956,76,2019-07-11T18:56:19.444Z,A3QNCW3LR2AVOV,odd,1
Chrome,525,null,null,990,76,2019-07-11T18:56:19.444Z,A3QNCW3LR2AVOV,odd,1
Chrome,900,null,null,992,83,2019-07-11T18:56:19.444Z,A3QNCW3LR2AVOV,red,0
Chrome,1050,null,null,969,76,2019-07-11T18:56:19.444Z,A3QNCW3LR2AVOV,spikey,1
Chrome,975,null,null,1012,76,2019-07-11T18:56:19.444Z,A3QNCW3LR2AVOV,red,1
Chrome,900,null,null,981,83,2019-07-11T18:56:19.444Z,A3QNCW3LR2AVOV,spikey,0
Chrome,975,null,null,1038,76,2019-07-11T18:56:19.444Z,A3QNCW3LR2AVOV,odd,1
Chrome,525,null,null,1004,83,2019-07-11T18:56:19.444Z,A3QNCW3LR2AVOV,red,0
Chrome,825,null,null,1007,76,2019-07-11T18:56:19.444Z,A3QNCW3LR2AVOV,red,1
Chrome,675,null,null,1026,83,2019-07-11T18:56:19.444Z,A3QNCW3LR2AVOV,spikey,0
Chrome,450,null,null,956,83,2019-07-11T18:56:19.444Z,A3QNCW3LR2AVOV,odd,0
Chrome,750,null,null,1046,76,2019-07-11T18:56:19.444Z,A3QNCW3LR2AVOV,odd,1
Chrome,600,null,null,1022,83,2019-07-11T18:56:19.444Z,A3QNCW3LR2AVOV,red,0
Chrome,1050,2019-07-11T19:10:54.474Z,"No Problems, A review or score maybe cause I'm wondering if I'm doing Ok. Thanks and good luck with your work",961,76,2019-07-11T18:56:19.444Z,A3QNCW3LR2AVOV,spikey,1
