X1.browser,X1.duration,X1.endTime,X1.feedback,X1.isi,X1.judgment,X1.startTime,X1.subjectID,X1.type
Chrome,1050,null,null,1021,76,2019-07-12T19:35:34.720Z,A3RLDROGYUMEVZ,red
Chrome,1050,null,null,1003,83,2019-07-12T19:35:34.720Z,A3RLDROGYUMEVZ,spikey
Chrome,1050,null,null,1010,83,2019-07-12T19:35:34.720Z,A3RLDROGYUMEVZ,spikey
Chrome,1050,null,null,961,76,2019-07-12T19:35:34.720Z,A3RLDROGYUMEVZ,red
Chrome,1050,null,null,955,83,2019-07-12T19:35:34.720Z,A3RLDROGYUMEVZ,odd
Chrome,1050,null,null,979,83,2019-07-12T19:35:34.720Z,A3RLDROGYUMEVZ,odd
Chrome,1050,null,null,992,83,2019-07-12T19:35:34.720Z,A3RLDROGYUMEVZ,red
Chrome,1050,null,null,958,83,2019-07-12T19:35:34.720Z,A3RLDROGYUMEVZ,odd
Chrome,1050,null,null,952,76,2019-07-12T19:35:34.720Z,A3RLDROGYUMEVZ,spikey
Chrome,1050,null,null,955,83,2019-07-12T19:35:34.720Z,A3RLDROGYUMEVZ,spikey
Chrome,1050,null,null,978,83,2019-07-12T19:35:34.720Z,A3RLDROGYUMEVZ,red
Chrome,1050,null,null,964,83,2019-07-12T19:35:34.720Z,A3RLDROGYUMEVZ,odd
Chrome,1050,null,null,987,83,2019-07-12T19:35:34.720Z,A3RLDROGYUMEVZ,red
Chrome,1050,null,null,1020,83,2019-07-12T19:35:34.720Z,A3RLDROGYUMEVZ,spikey
Chrome,1050,null,null,961,76,2019-07-12T19:35:34.720Z,A3RLDROGYUMEVZ,odd
Chrome,1050,null,null,1005,76,2019-07-12T19:35:34.720Z,A3RLDROGYUMEVZ,red
Chrome,1050,null,null,1021,83,2019-07-12T19:35:34.720Z,A3RLDROGYUMEVZ,spikey
Chrome,1050,null,null,978,76,2019-07-12T19:35:34.720Z,A3RLDROGYUMEVZ,odd
Chrome,1050,null,null,975,76,2019-07-12T19:35:34.720Z,A3RLDROGYUMEVZ,odd
Chrome,1050,null,null,1027,83,2019-07-12T19:35:34.720Z,A3RLDROGYUMEVZ,odd
Chrome,1050,null,null,991,83,2019-07-12T19:35:34.720Z,A3RLDROGYUMEVZ,red
Chrome,1050,null,null,1006,83,2019-07-12T19:35:34.720Z,A3RLDROGYUMEVZ,spikey
Chrome,1050,null,null,1005,83,2019-07-12T19:35:34.720Z,A3RLDROGYUMEVZ,red
Chrome,1050,null,null,998,83,2019-07-12T19:35:34.720Z,A3RLDROGYUMEVZ,red
Chrome,1050,null,null,1007,83,2019-07-12T19:35:34.720Z,A3RLDROGYUMEVZ,spikey
Chrome,1050,null,null,1032,76,2019-07-12T19:35:34.720Z,A3RLDROGYUMEVZ,spikey
Chrome,1050,2019-07-12T19:53:53.473Z,,1045,83,2019-07-12T19:35:34.720Z,A3RLDROGYUMEVZ,odd
