X1.browser,X1.duration,X1.endTime,X1.feedback,X1.isi,X1.judgment,X1.startTime,X1.subjectID,X1.type
Chrome,750,null,null,955,76,2019-07-10T16:43:06.598Z,A82VN0BRUIMNO,odd
Chrome,525,null,null,1045,76,2019-07-10T16:43:06.598Z,A82VN0BRUIMNO,red
Chrome,1050,null,null,1042,76,2019-07-10T16:43:06.598Z,A82VN0BRUIMNO,red
Chrome,600,null,null,1024,83,2019-07-10T16:43:06.598Z,A82VN0BRUIMNO,spikey
Chrome,675,null,null,953,83,2019-07-10T16:43:06.598Z,A82VN0BRUIMNO,spikey
Chrome,900,null,null,962,76,2019-07-10T16:43:06.598Z,A82VN0BRUIMNO,odd
Chrome,975,null,null,983,76,2019-07-10T16:43:06.598Z,A82VN0BRUIMNO,spikey
Chrome,450,null,null,979,83,2019-07-10T16:43:06.598Z,A82VN0BRUIMNO,red
Chrome,825,null,null,1029,83,2019-07-10T16:43:06.598Z,A82VN0BRUIMNO,odd
Chrome,450,null,null,966,83,2019-07-10T16:43:06.598Z,A82VN0BRUIMNO,odd
Chrome,975,null,null,956,76,2019-07-10T16:43:06.598Z,A82VN0BRUIMNO,spikey
Chrome,1050,null,null,985,83,2019-07-10T16:43:06.598Z,A82VN0BRUIMNO,red
Chrome,600,null,null,975,83,2019-07-10T16:43:06.598Z,A82VN0BRUIMNO,spikey
Chrome,825,null,null,1009,76,2019-07-10T16:43:06.598Z,A82VN0BRUIMNO,spikey
Chrome,675,null,null,1007,83,2019-07-10T16:43:06.598Z,A82VN0BRUIMNO,red
Chrome,900,null,null,994,83,2019-07-10T16:43:06.598Z,A82VN0BRUIMNO,red
Chrome,750,null,null,960,76,2019-07-10T16:43:06.598Z,A82VN0BRUIMNO,odd
Chrome,525,null,null,990,76,2019-07-10T16:43:06.598Z,A82VN0BRUIMNO,odd
Chrome,450,null,null,959,76,2019-07-10T16:43:06.598Z,A82VN0BRUIMNO,red
Chrome,675,null,null,1037,76,2019-07-10T16:43:06.598Z,A82VN0BRUIMNO,odd
Chrome,825,null,null,1009,76,2019-07-10T16:43:06.598Z,A82VN0BRUIMNO,spikey
Chrome,975,null,null,1006,76,2019-07-10T16:43:06.598Z,A82VN0BRUIMNO,odd
Chrome,525,null,null,1036,83,2019-07-10T16:43:06.598Z,A82VN0BRUIMNO,spikey
Chrome,900,null,null,984,76,2019-07-10T16:43:06.598Z,A82VN0BRUIMNO,red
Chrome,1050,null,null,997,76,2019-07-10T16:43:06.598Z,A82VN0BRUIMNO,spikey
Chrome,600,null,null,1027,83,2019-07-10T16:43:06.598Z,A82VN0BRUIMNO,red
Chrome,750,2019-07-10T16:53:37.092Z,,994,76,2019-07-10T16:43:06.598Z,A82VN0BRUIMNO,odd
