X1.browser,X1.duration,X1.endTime,X1.feedback,X1.isi,X1.judgment,X1.startTime,X1.subjectID,X1.type
Chrome,1050,null,null,981,83,2019-07-12T17:08:57.862Z,ACN0C9HPYDTED,red
Chrome,450,null,null,1047,83,2019-07-12T17:08:57.862Z,ACN0C9HPYDTED,odd
Chrome,975,null,null,957,76,2019-07-12T17:08:57.862Z,ACN0C9HPYDTED,spikey
Chrome,750,null,null,1037,83,2019-07-12T17:08:57.862Z,ACN0C9HPYDTED,red
Chrome,825,null,null,1049,83,2019-07-12T17:08:57.862Z,ACN0C9HPYDTED,red
Chrome,525,null,null,1010,83,2019-07-12T17:08:57.862Z,ACN0C9HPYDTED,odd
Chrome,600,null,null,1011,83,2019-07-12T17:08:57.862Z,ACN0C9HPYDTED,spikey
Chrome,900,null,null,1043,76,2019-07-12T17:08:57.862Z,ACN0C9HPYDTED,odd
Chrome,675,null,null,1003,83,2019-07-12T17:08:57.862Z,ACN0C9HPYDTED,spikey
Chrome,600,null,null,1013,83,2019-07-12T17:08:57.862Z,ACN0C9HPYDTED,odd
Chrome,1050,null,null,1019,76,2019-07-12T17:08:57.862Z,ACN0C9HPYDTED,red
Chrome,675,null,null,1045,83,2019-07-12T17:08:57.862Z,ACN0C9HPYDTED,spikey
Chrome,900,null,null,1041,83,2019-07-12T17:08:57.862Z,ACN0C9HPYDTED,spikey
Chrome,450,null,null,1020,83,2019-07-12T17:08:57.862Z,ACN0C9HPYDTED,odd
Chrome,975,null,null,1020,76,2019-07-12T17:08:57.862Z,ACN0C9HPYDTED,odd
Chrome,525,null,null,973,83,2019-07-12T17:08:57.862Z,ACN0C9HPYDTED,spikey
Chrome,750,null,null,1008,83,2019-07-12T17:08:57.862Z,ACN0C9HPYDTED,red
Chrome,825,null,null,1044,83,2019-07-12T17:08:57.862Z,ACN0C9HPYDTED,red
Chrome,1050,null,null,979,76,2019-07-12T17:08:57.862Z,ACN0C9HPYDTED,red
Chrome,675,null,null,1031,83,2019-07-12T17:08:57.862Z,ACN0C9HPYDTED,odd
Chrome,975,null,null,1037,76,2019-07-12T17:08:57.862Z,ACN0C9HPYDTED,spikey
Chrome,825,null,null,987,83,2019-07-12T17:08:57.862Z,ACN0C9HPYDTED,spikey
Chrome,600,null,null,994,76,2019-07-12T17:08:57.862Z,ACN0C9HPYDTED,odd
Chrome,750,null,null,1024,83,2019-07-12T17:08:57.862Z,ACN0C9HPYDTED,red
Chrome,450,null,null,1039,76,2019-07-12T17:08:57.862Z,ACN0C9HPYDTED,spikey
Chrome,525,null,null,989,83,2019-07-12T17:08:57.862Z,ACN0C9HPYDTED,red
Chrome,900,2019-07-12T17:21:17.327Z,No issues.,953,83,2019-07-12T17:08:57.862Z,ACN0C9HPYDTED,odd
