X1.browser,X1.duration,X1.endTime,X1.feedback,X1.isi,X1.judgment,X1.startTime,X1.subjectID,X1.type
Chrome,450,null,null,1034,83,2019-07-09T23:07:12.824Z,ALAEBEEHK525U,red
Chrome,1050,null,null,1019,76,2019-07-09T23:07:12.824Z,ALAEBEEHK525U,spikey
Chrome,900,null,null,982,76,2019-07-09T23:07:12.824Z,ALAEBEEHK525U,odd
Chrome,825,null,null,1005,83,2019-07-09T23:07:12.824Z,ALAEBEEHK525U,red
Chrome,600,null,null,953,83,2019-07-09T23:07:12.824Z,ALAEBEEHK525U,red
Chrome,525,null,null,1037,83,2019-07-09T23:07:12.824Z,ALAEBEEHK525U,spikey
Chrome,750,null,null,962,76,2019-07-09T23:07:12.824Z,ALAEBEEHK525U,odd
Chrome,975,null,null,1042,76,2019-07-09T23:07:12.824Z,ALAEBEEHK525U,spikey
Chrome,675,null,null,967,83,2019-07-09T23:07:12.824Z,ALAEBEEHK525U,odd
Chrome,1050,null,null,1036,76,2019-07-09T23:07:12.824Z,ALAEBEEHK525U,odd
Chrome,675,null,null,974,83,2019-07-09T23:07:12.824Z,ALAEBEEHK525U,odd
Chrome,600,null,null,978,83,2019-07-09T23:07:12.824Z,ALAEBEEHK525U,red
Chrome,750,null,null,1010,83,2019-07-09T23:07:12.824Z,ALAEBEEHK525U,spikey
Chrome,525,null,null,1016,83,2019-07-09T23:07:12.824Z,ALAEBEEHK525U,red
Chrome,900,null,null,1040,83,2019-07-09T23:07:12.824Z,ALAEBEEHK525U,spikey
Chrome,825,null,null,979,76,2019-07-09T23:07:12.824Z,ALAEBEEHK525U,red
Chrome,975,null,null,962,76,2019-07-09T23:07:12.824Z,ALAEBEEHK525U,spikey
Chrome,450,null,null,999,83,2019-07-09T23:07:12.824Z,ALAEBEEHK525U,odd
Chrome,675,null,null,989,76,2019-07-09T23:07:12.824Z,ALAEBEEHK525U,red
Chrome,750,null,null,954,76,2019-07-09T23:07:12.824Z,ALAEBEEHK525U,spikey
Chrome,825,null,null,1020,76,2019-07-09T23:07:12.824Z,ALAEBEEHK525U,odd
Chrome,525,null,null,1002,83,2019-07-09T23:07:12.824Z,ALAEBEEHK525U,spikey
Chrome,975,null,null,983,83,2019-07-09T23:07:12.824Z,ALAEBEEHK525U,red
Chrome,900,null,null,984,83,2019-07-09T23:07:12.824Z,ALAEBEEHK525U,red
Chrome,450,null,null,1042,83,2019-07-09T23:07:12.824Z,ALAEBEEHK525U,odd
Chrome,1050,null,null,965,76,2019-07-09T23:07:12.824Z,ALAEBEEHK525U,spikey
Chrome,600,2019-07-09T23:17:24.791Z,,1032,83,2019-07-09T23:07:12.824Z,ALAEBEEHK525U,odd
