X1.browser,X1.duration,X1.endTime,X1.feedback,X1.isi,X1.judgment,X1.startTime,X1.subjectID,X1.type
Chrome,450,null,null,973,83,2019-07-10T19:18:24.405Z,AMKU7YXM3RZ8I,odd
Chrome,525,null,null,954,83,2019-07-10T19:18:24.405Z,AMKU7YXM3RZ8I,odd
Chrome,975,null,null,1029,76,2019-07-10T19:18:24.405Z,AMKU7YXM3RZ8I,odd
Chrome,600,null,null,1021,83,2019-07-10T19:18:24.405Z,AMKU7YXM3RZ8I,spikey
Chrome,1050,null,null,1029,76,2019-07-10T19:18:24.405Z,AMKU7YXM3RZ8I,spikey
Chrome,750,null,null,957,83,2019-07-10T19:18:24.405Z,AMKU7YXM3RZ8I,red
Chrome,825,null,null,967,83,2019-07-10T19:18:24.405Z,AMKU7YXM3RZ8I,red
Chrome,675,null,null,982,83,2019-07-10T19:18:24.405Z,AMKU7YXM3RZ8I,spikey
Chrome,900,null,null,1026,76,2019-07-10T19:18:24.405Z,AMKU7YXM3RZ8I,red
Chrome,900,null,null,993,76,2019-07-10T19:18:24.405Z,AMKU7YXM3RZ8I,odd
Chrome,825,null,null,1002,83,2019-07-10T19:18:24.405Z,AMKU7YXM3RZ8I,red
Chrome,450,null,null,1016,83,2019-07-10T19:18:24.405Z,AMKU7YXM3RZ8I,spikey
Chrome,600,null,null,1002,83,2019-07-10T19:18:24.405Z,AMKU7YXM3RZ8I,spikey
Chrome,750,null,null,1035,83,2019-07-10T19:18:24.405Z,AMKU7YXM3RZ8I,red
Chrome,525,null,null,983,83,2019-07-10T19:18:24.405Z,AMKU7YXM3RZ8I,red
Chrome,975,null,null,978,76,2019-07-10T19:18:24.405Z,AMKU7YXM3RZ8I,odd
Chrome,1050,null,null,957,76,2019-07-10T19:18:24.405Z,AMKU7YXM3RZ8I,spikey
Chrome,675,null,null,1020,83,2019-07-10T19:18:24.405Z,AMKU7YXM3RZ8I,odd
Chrome,975,null,null,1032,76,2019-07-10T19:18:24.405Z,AMKU7YXM3RZ8I,spikey
Chrome,825,null,null,973,76,2019-07-10T19:18:24.405Z,AMKU7YXM3RZ8I,odd
Chrome,675,null,null,1027,83,2019-07-10T19:18:24.405Z,AMKU7YXM3RZ8I,red
Chrome,1050,null,null,976,76,2019-07-10T19:18:24.405Z,AMKU7YXM3RZ8I,red
Chrome,900,null,null,957,83,2019-07-10T19:18:24.405Z,AMKU7YXM3RZ8I,spikey
Chrome,450,null,null,998,83,2019-07-10T19:18:24.405Z,AMKU7YXM3RZ8I,odd
Chrome,750,null,null,982,83,2019-07-10T19:18:24.405Z,AMKU7YXM3RZ8I,red
Chrome,525,null,null,992,83,2019-07-10T19:18:24.405Z,AMKU7YXM3RZ8I,spikey
Chrome,600,2019-07-10T19:41:09.436Z,"No issues, though staring at these circles/shapes for that long makes the eyes hurt a bit! Thanks for an interesting HIT!",974,83,2019-07-10T19:18:24.405Z,AMKU7YXM3RZ8I,odd
