X1.browser,X1.duration,X1.endTime,X1.feedback,X1.isi,X1.judgment,X1.startTime,X1.subjectID,X1.type
Chrome,1050,null,null,963,83,2019-07-12T19:10:29.914Z,AVI7K876BV3QL,odd
Chrome,1050,null,null,964,76,2019-07-12T19:10:29.914Z,AVI7K876BV3QL,odd
Chrome,1050,null,null,1025,83,2019-07-12T19:10:29.914Z,AVI7K876BV3QL,red
Chrome,1050,null,null,1044,83,2019-07-12T19:10:29.914Z,AVI7K876BV3QL,spikey
Chrome,1050,null,null,1018,76,2019-07-12T19:10:29.914Z,AVI7K876BV3QL,red
Chrome,1050,null,null,990,76,2019-07-12T19:10:29.914Z,AVI7K876BV3QL,odd
Chrome,1050,null,null,1007,76,2019-07-12T19:10:29.914Z,AVI7K876BV3QL,red
Chrome,1050,null,null,956,83,2019-07-12T19:10:29.914Z,AVI7K876BV3QL,spikey
Chrome,1050,null,null,994,83,2019-07-12T19:10:29.914Z,AVI7K876BV3QL,spikey
Chrome,1050,null,null,1036,83,2019-07-12T19:10:29.914Z,AVI7K876BV3QL,odd
Chrome,1050,null,null,1023,83,2019-07-12T19:10:29.914Z,AVI7K876BV3QL,odd
Chrome,1050,null,null,996,76,2019-07-12T19:10:29.914Z,AVI7K876BV3QL,spikey
Chrome,1050,null,null,1047,76,2019-07-12T19:10:29.914Z,AVI7K876BV3QL,spikey
Chrome,1050,null,null,1011,83,2019-07-12T19:10:29.914Z,AVI7K876BV3QL,red
Chrome,1050,null,null,1039,83,2019-07-12T19:10:29.914Z,AVI7K876BV3QL,red
Chrome,1050,null,null,1043,76,2019-07-12T19:10:29.914Z,AVI7K876BV3QL,odd
Chrome,1050,null,null,978,76,2019-07-12T19:10:29.914Z,AVI7K876BV3QL,spikey
Chrome,1050,null,null,1000,76,2019-07-12T19:10:29.914Z,AVI7K876BV3QL,red
Chrome,1050,null,null,1031,83,2019-07-12T19:10:29.914Z,AVI7K876BV3QL,red
Chrome,1050,null,null,998,76,2019-07-12T19:10:29.914Z,AVI7K876BV3QL,spikey
Chrome,1050,null,null,1046,76,2019-07-12T19:10:29.914Z,AVI7K876BV3QL,odd
Chrome,1050,null,null,1000,83,2019-07-12T19:10:29.914Z,AVI7K876BV3QL,odd
Chrome,1050,null,null,984,76,2019-07-12T19:10:29.914Z,AVI7K876BV3QL,red
Chrome,1050,null,null,1043,76,2019-07-12T19:10:29.914Z,AVI7K876BV3QL,spikey
Chrome,1050,null,null,1039,76,2019-07-12T19:10:29.914Z,AVI7K876BV3QL,odd
Chrome,1050,null,null,1022,76,2019-07-12T19:10:29.914Z,AVI7K876BV3QL,spikey
Chrome,1050,2019-07-12T19:21:22.820Z,no issues,960,83,2019-07-12T19:10:29.914Z,AVI7K876BV3QL,red
