,numRatio,match1,chose1More,notChose1More,chose1MoreProportion
1,0.666666667,match,18,198,0.083333333
2,0.666666667,mismatch,22,194,0.101851852
3,0.8,match,34,182,0.157407407
4,0.8,mismatch,42,174,0.194444444
5,0.833333333,match,41,175,0.189814815
6,0.833333333,mismatch,38,178,0.175925926
7,1,match,615,681,0.474537037
8,1,mismatch,646,650,0.49845679
9,1.2,match,152,64,0.703703704
10,1.2,mismatch,166,50,0.768518519
11,1.25,match,178,38,0.824074074
12,1.25,mismatch,191,25,0.884259259
13,1.5,match,193,23,0.893518519
14,1.5,mismatch,191,25,0.884259259
