browser,duration,endTime,feedback,isi,judgment,startTime,subjectID,type,velocityFraction
Chrome,1050,null,null,1008,83,2019-07-19T23:07:59.054Z,A100Y89FZO4J0B,red,0.6
Chrome,1050,null,null,979,83,2019-07-19T23:07:59.054Z,A100Y89FZO4J0B,spikey,1.1
Chrome,1050,null,null,1043,83,2019-07-19T23:07:59.054Z,A100Y89FZO4J0B,odd,0.8
Chrome,1050,null,null,1021,76,2019-07-19T23:07:59.054Z,A100Y89FZO4J0B,spikey,0.9
Chrome,1050,null,null,1015,83,2019-07-19T23:07:59.054Z,A100Y89FZO4J0B,odd,1.3
Chrome,1050,null,null,961,83,2019-07-19T23:07:59.054Z,A100Y89FZO4J0B,red,0.7
Chrome,1050,null,null,1038,76,2019-07-19T23:07:59.054Z,A100Y89FZO4J0B,spikey,1.2
Chrome,1050,null,null,995,83,2019-07-19T23:07:59.054Z,A100Y89FZO4J0B,odd,0.5
Chrome,1050,null,null,1027,76,2019-07-19T23:07:59.054Z,A100Y89FZO4J0B,red,1
Chrome,1050,null,null,1033,83,2019-07-19T23:07:59.054Z,A100Y89FZO4J0B,odd,0.5
Chrome,1050,null,null,975,83,2019-07-19T23:07:59.054Z,A100Y89FZO4J0B,red,1
Chrome,1050,null,null,960,76,2019-07-19T23:07:59.054Z,A100Y89FZO4J0B,odd,1.2
Chrome,1050,null,null,996,83,2019-07-19T23:07:59.054Z,A100Y89FZO4J0B,spikey,0.7
Chrome,1050,null,null,971,76,2019-07-19T23:07:59.054Z,A100Y89FZO4J0B,spikey,0.8
Chrome,1050,null,null,1026,83,2019-07-19T23:07:59.054Z,A100Y89FZO4J0B,red,1.1
Chrome,1050,null,null,1039,76,2019-07-19T23:07:59.054Z,A100Y89FZO4J0B,spikey,1.3
Chrome,1050,null,null,974,83,2019-07-19T23:07:59.054Z,A100Y89FZO4J0B,red,0.6
Chrome,1050,null,null,982,76,2019-07-19T23:07:59.054Z,A100Y89FZO4J0B,odd,0.9
Chrome,1050,null,null,1018,83,2019-07-19T23:07:59.054Z,A100Y89FZO4J0B,spikey,0.8
Chrome,1050,null,null,1034,83,2019-07-19T23:07:59.054Z,A100Y89FZO4J0B,spikey,0.5
Chrome,1050,null,null,1041,76,2019-07-19T23:07:59.054Z,A100Y89FZO4J0B,red,1
Chrome,1050,null,null,952,83,2019-07-19T23:07:59.054Z,A100Y89FZO4J0B,spikey,0.7
Chrome,1050,null,null,1009,83,2019-07-19T23:07:59.054Z,A100Y89FZO4J0B,red,0.9
Chrome,1050,null,null,968,83,2019-07-19T23:07:59.054Z,A100Y89FZO4J0B,red,0.6
Chrome,1050,null,null,1021,83,2019-07-19T23:07:59.054Z,A100Y89FZO4J0B,odd,1.3
Chrome,1050,null,null,987,76,2019-07-19T23:07:59.054Z,A100Y89FZO4J0B,odd,1.1
Chrome,1050,2019-07-19T23:20:28.501Z,null,1015,76,2019-07-19T23:07:59.054Z,A100Y89FZO4J0B,odd,1.2
Chrome,1050,null,null,978,76,2019-07-20T22:12:49.696Z,A10O5YR01H865K,red,1.1
Chrome,1050,null,null,957,76,2019-07-20T22:12:49.696Z,A10O5YR01H865K,spikey,1.2
