X1.browser,X1.duration,X1.endTime,X1.feedback,X1.isi,X1.judgment,X1.startTime,X1.subjectID,X1.type,X1.correct
Chrome,1050,null,null,954,83,2019-09-10T14:54:34.148Z,A12ABRH7TAD6ZJ,red,0
Chrome,1050,null,null,966,83,2019-09-10T14:54:34.148Z,A12ABRH7TAD6ZJ,colorful,0
Chrome,1050,null,null,972,76,2019-09-10T14:54:34.148Z,A12ABRH7TAD6ZJ,red,1
Chrome,1050,null,null,963,76,2019-09-10T14:54:34.148Z,A12ABRH7TAD6ZJ,colorful,1
Chrome,1050,null,null,976,76,2019-09-10T14:54:34.148Z,A12ABRH7TAD6ZJ,colorful,1
Chrome,1050,null,null,971,76,2019-09-10T14:54:34.148Z,A12ABRH7TAD6ZJ,odd,1
Chrome,1050,null,null,1011,76,2019-09-10T14:54:34.148Z,A12ABRH7TAD6ZJ,odd,1
Chrome,1050,null,null,1019,76,2019-09-10T14:54:34.148Z,A12ABRH7TAD6ZJ,odd,1
Chrome,1050,null,null,977,83,2019-09-10T14:54:34.148Z,A12ABRH7TAD6ZJ,red,0
Chrome,1050,null,null,988,76,2019-09-10T14:54:34.148Z,A12ABRH7TAD6ZJ,odd,1
Chrome,1050,null,null,1025,83,2019-09-10T14:54:34.148Z,A12ABRH7TAD6ZJ,red,0
Chrome,1050,null,null,1009,76,2019-09-10T14:54:34.148Z,A12ABRH7TAD6ZJ,red,1
Chrome,1050,null,null,999,76,2019-09-10T14:54:34.148Z,A12ABRH7TAD6ZJ,red,1
Chrome,1050,null,null,1046,76,2019-09-10T14:54:34.148Z,A12ABRH7TAD6ZJ,odd,1
Chrome,1050,null,null,968,83,2019-09-10T14:54:34.148Z,A12ABRH7TAD6ZJ,colorful,0
Chrome,1050,null,null,987,83,2019-09-10T14:54:34.148Z,A12ABRH7TAD6ZJ,colorful,0
Chrome,1050,null,null,1041,83,2019-09-10T14:54:34.148Z,A12ABRH7TAD6ZJ,colorful,0
Chrome,1050,null,null,1030,76,2019-09-10T14:54:34.148Z,A12ABRH7TAD6ZJ,odd,1
Chrome,1050,null,null,950,76,2019-09-10T14:54:34.148Z,A12ABRH7TAD6ZJ,colorful,1
Chrome,1050,null,null,967,76,2019-09-10T14:54:34.148Z,A12ABRH7TAD6ZJ,odd,1
Chrome,1050,null,null,1037,76,2019-09-10T14:54:34.148Z,A12ABRH7TAD6ZJ,red,1
Chrome,1050,null,null,993,76,2019-09-10T14:54:34.148Z,A12ABRH7TAD6ZJ,odd,1
Chrome,1050,null,null,1036,76,2019-09-10T14:54:34.148Z,A12ABRH7TAD6ZJ,colorful,1
Chrome,1050,null,null,1047,76,2019-09-10T14:54:34.148Z,A12ABRH7TAD6ZJ,red,1
Chrome,1050,null,null,1043,76,2019-09-10T14:54:34.148Z,A12ABRH7TAD6ZJ,red,1
Chrome,1050,null,null,974,76,2019-09-10T14:54:34.148Z,A12ABRH7TAD6ZJ,odd,1
Chrome,1050,2019-09-10T15:05:59.568Z,,1010,76,2019-09-10T14:54:34.148Z,A12ABRH7TAD6ZJ,colorful,1
