X1.browser,X1.duration,X1.endTime,X1.feedback,X1.isi,X1.judgment,X1.startTime,X1.subjectID,X1.type,X1.correct
Firefox,1050,null,null,1024,83,2019-09-10T14:22:15.746Z,A14FPZMC9ENX8E,colorful,0
Firefox,1050,null,null,965,83,2019-09-10T14:22:15.746Z,A14FPZMC9ENX8E,red,0
Firefox,1050,null,null,950,83,2019-09-10T14:22:15.746Z,A14FPZMC9ENX8E,odd,0
Firefox,1050,null,null,1024,76,2019-09-10T14:22:15.746Z,A14FPZMC9ENX8E,red,1
Firefox,1050,null,null,976,76,2019-09-10T14:22:15.746Z,A14FPZMC9ENX8E,red,1
Firefox,1050,null,null,991,83,2019-09-10T14:22:15.746Z,A14FPZMC9ENX8E,colorful,0
Firefox,1050,null,null,1020,76,2019-09-10T14:22:15.746Z,A14FPZMC9ENX8E,colorful,1
Firefox,1050,null,null,950,76,2019-09-10T14:22:15.746Z,A14FPZMC9ENX8E,odd,1
Firefox,1050,null,null,997,76,2019-09-10T14:22:15.746Z,A14FPZMC9ENX8E,odd,1
Firefox,1050,null,null,1018,76,2019-09-10T14:22:15.746Z,A14FPZMC9ENX8E,odd,1
Firefox,1050,null,null,1038,83,2019-09-10T14:22:15.746Z,A14FPZMC9ENX8E,red,0
Firefox,1050,null,null,999,83,2019-09-10T14:22:15.746Z,A14FPZMC9ENX8E,odd,0
Firefox,1050,null,null,1014,83,2019-09-10T14:22:15.746Z,A14FPZMC9ENX8E,colorful,0
Firefox,1050,null,null,996,83,2019-09-10T14:22:15.746Z,A14FPZMC9ENX8E,colorful,0
Firefox,1050,null,null,988,76,2019-09-10T14:22:15.746Z,A14FPZMC9ENX8E,colorful,1
Firefox,1050,null,null,979,76,2019-09-10T14:22:15.746Z,A14FPZMC9ENX8E,red,1
Firefox,1050,null,null,1021,76,2019-09-10T14:22:15.746Z,A14FPZMC9ENX8E,red,1
Firefox,1050,null,null,1011,76,2019-09-10T14:22:15.746Z,A14FPZMC9ENX8E,odd,1
Firefox,1050,null,null,1011,76,2019-09-10T14:22:15.746Z,A14FPZMC9ENX8E,colorful,1
Firefox,1050,null,null,1014,76,2019-09-10T14:22:15.746Z,A14FPZMC9ENX8E,colorful,1
Firefox,1050,null,null,977,76,2019-09-10T14:22:15.746Z,A14FPZMC9ENX8E,odd,1
Firefox,1050,null,null,1044,76,2019-09-10T14:22:15.746Z,A14FPZMC9ENX8E,red,1
Firefox,1050,null,null,963,76,2019-09-10T14:22:15.746Z,A14FPZMC9ENX8E,red,1
Firefox,1050,null,null,960,76,2019-09-10T14:22:15.746Z,A14FPZMC9ENX8E,odd,1
Firefox,1050,null,null,950,83,2019-09-10T14:22:15.746Z,A14FPZMC9ENX8E,colorful,0
Firefox,1050,null,null,985,76,2019-09-10T14:22:15.746Z,A14FPZMC9ENX8E,odd,1
Firefox,1050,2019-09-10T14:37:27.994Z,,1001,76,2019-09-10T14:22:15.746Z,A14FPZMC9ENX8E,red,1
