X1.browser,X1.duration,X1.endTime,X1.feedback,X1.isi,X1.judgment,X1.startTime,X1.subjectID,X1.type,X1.correct
Chrome,1050,null,null,977,83,2019-09-10T14:32:20.206Z,A1JJYY622DGE5L,colorful,0
Chrome,1050,null,null,1015,83,2019-09-10T14:32:20.206Z,A1JJYY622DGE5L,colorful,0
Chrome,1050,null,null,998,76,2019-09-10T14:32:20.206Z,A1JJYY622DGE5L,odd,1
Chrome,1050,null,null,956,76,2019-09-10T14:32:20.206Z,A1JJYY622DGE5L,odd,1
Chrome,1050,null,null,1004,83,2019-09-10T14:32:20.206Z,A1JJYY622DGE5L,red,0
Chrome,1050,null,null,1049,83,2019-09-10T14:32:20.206Z,A1JJYY622DGE5L,colorful,0
Chrome,1050,null,null,992,76,2019-09-10T14:32:20.206Z,A1JJYY622DGE5L,odd,1
Chrome,1050,null,null,956,83,2019-09-10T14:32:20.206Z,A1JJYY622DGE5L,red,0
Chrome,1050,null,null,989,76,2019-09-10T14:32:20.206Z,A1JJYY622DGE5L,red,1
Chrome,1050,null,null,1008,76,2019-09-10T14:32:20.206Z,A1JJYY622DGE5L,odd,1
Chrome,1050,null,null,999,76,2019-09-10T14:32:20.206Z,A1JJYY622DGE5L,odd,1
Chrome,1050,null,null,978,76,2019-09-10T14:32:20.206Z,A1JJYY622DGE5L,red,1
Chrome,1050,null,null,965,83,2019-09-10T14:32:20.206Z,A1JJYY622DGE5L,red,0
Chrome,1050,null,null,1044,76,2019-09-10T14:32:20.206Z,A1JJYY622DGE5L,red,1
Chrome,1050,null,null,1036,83,2019-09-10T14:32:20.206Z,A1JJYY622DGE5L,colorful,0
Chrome,1050,null,null,953,83,2019-09-10T14:32:20.206Z,A1JJYY622DGE5L,colorful,0
Chrome,1050,null,null,954,76,2019-09-10T14:32:20.206Z,A1JJYY622DGE5L,odd,1
Chrome,1050,null,null,1022,83,2019-09-10T14:32:20.206Z,A1JJYY622DGE5L,colorful,0
Chrome,1050,null,null,955,76,2019-09-10T14:32:20.206Z,A1JJYY622DGE5L,red,1
Chrome,1050,null,null,1001,76,2019-09-10T14:32:20.206Z,A1JJYY622DGE5L,odd,1
Chrome,1050,null,null,963,76,2019-09-10T14:32:20.206Z,A1JJYY622DGE5L,red,1
Chrome,1050,null,null,950,83,2019-09-10T14:32:20.206Z,A1JJYY622DGE5L,colorful,0
Chrome,1050,null,null,975,83,2019-09-10T14:32:20.206Z,A1JJYY622DGE5L,red,0
Chrome,1050,null,null,1020,83,2019-09-10T14:32:20.206Z,A1JJYY622DGE5L,colorful,0
Chrome,1050,null,null,972,76,2019-09-10T14:32:20.206Z,A1JJYY622DGE5L,odd,1
Chrome,1050,null,null,999,83,2019-09-10T14:32:20.206Z,A1JJYY622DGE5L,colorful,0
Chrome,1050,2019-09-10T14:42:17.424Z,,957,76,2019-09-10T14:32:20.206Z,A1JJYY622DGE5L,odd,1
