X1.browser,X1.duration,X1.endTime,X1.feedback,X1.isi,X1.judgment,X1.startTime,X1.subjectID,X1.type,X1.correct
Firefox,1050,null,null,973,76,2019-09-10T14:23:58.026Z,A1TD88JHBU0VET,odd,1
Firefox,1050,null,null,1027,83,2019-09-10T14:23:58.026Z,A1TD88JHBU0VET,colorful,0
Firefox,1050,null,null,1026,83,2019-09-10T14:23:58.026Z,A1TD88JHBU0VET,colorful,0
Firefox,1050,null,null,984,76,2019-09-10T14:23:58.026Z,A1TD88JHBU0VET,red,1
Firefox,1050,null,null,979,83,2019-09-10T14:23:58.026Z,A1TD88JHBU0VET,colorful,0
Firefox,1050,null,null,951,76,2019-09-10T14:23:58.026Z,A1TD88JHBU0VET,odd,1
Firefox,1050,null,null,1046,76,2019-09-10T14:23:58.026Z,A1TD88JHBU0VET,red,1
Firefox,1050,null,null,1007,83,2019-09-10T14:23:58.026Z,A1TD88JHBU0VET,red,0
Firefox,1050,null,null,1028,76,2019-09-10T14:23:58.026Z,A1TD88JHBU0VET,odd,1
Firefox,1050,null,null,953,83,2019-09-10T14:23:58.026Z,A1TD88JHBU0VET,red,0
Firefox,1050,null,null,957,76,2019-09-10T14:23:58.026Z,A1TD88JHBU0VET,odd,1
Firefox,1050,null,null,1028,83,2019-09-10T14:23:58.026Z,A1TD88JHBU0VET,colorful,0
Firefox,1050,null,null,966,83,2019-09-10T14:23:58.026Z,A1TD88JHBU0VET,colorful,0
Firefox,1050,null,null,1035,76,2019-09-10T14:23:58.026Z,A1TD88JHBU0VET,red,1
Firefox,1050,null,null,1018,76,2019-09-10T14:23:58.026Z,A1TD88JHBU0VET,odd,1
Firefox,1050,null,null,979,76,2019-09-10T14:23:58.026Z,A1TD88JHBU0VET,red,1
Firefox,1050,null,null,987,83,2019-09-10T14:23:58.026Z,A1TD88JHBU0VET,colorful,0
Firefox,1050,null,null,1017,76,2019-09-10T14:23:58.026Z,A1TD88JHBU0VET,odd,1
Firefox,1050,null,null,989,76,2019-09-10T14:23:58.026Z,A1TD88JHBU0VET,odd,1
Firefox,1050,null,null,1007,76,2019-09-10T14:23:58.026Z,A1TD88JHBU0VET,odd,1
Firefox,1050,null,null,954,83,2019-09-10T14:23:58.026Z,A1TD88JHBU0VET,red,0
Firefox,1050,null,null,956,83,2019-09-10T14:23:58.026Z,A1TD88JHBU0VET,colorful,0
Firefox,1050,null,null,964,76,2019-09-10T14:23:58.026Z,A1TD88JHBU0VET,red,1
Firefox,1050,null,null,956,76,2019-09-10T14:23:58.026Z,A1TD88JHBU0VET,red,1
Firefox,1050,null,null,961,83,2019-09-10T14:23:58.026Z,A1TD88JHBU0VET,odd,0
Firefox,1050,null,null,960,83,2019-09-10T14:23:58.026Z,A1TD88JHBU0VET,colorful,0
Firefox,1050,2019-09-10T14:35:58.085Z,"I did not have any problems, other than my eyes becoming tired near the end of the study.",1020,83,2019-09-10T14:23:58.026Z,A1TD88JHBU0VET,colorful,0
