X1.browser,X1.duration,X1.endTime,X1.feedback,X1.isi,X1.judgment,X1.startTime,X1.subjectID,X1.type
Chrome,1050,null,null,974,76,2019-09-03T15:00:53.306Z,A1XK77VP2S13YC,red
Chrome,1050,null,null,985,83,2019-09-03T15:00:53.306Z,A1XK77VP2S13YC,colorful
Chrome,1050,null,null,1010,83,2019-09-03T15:00:53.306Z,A1XK77VP2S13YC,colorful
Chrome,1050,null,null,982,83,2019-09-03T15:00:53.306Z,A1XK77VP2S13YC,odd
Chrome,1050,null,null,986,83,2019-09-03T15:00:53.306Z,A1XK77VP2S13YC,odd
Chrome,1050,null,null,979,83,2019-09-03T15:00:53.306Z,A1XK77VP2S13YC,odd
Chrome,1050,null,null,1044,83,2019-09-03T15:00:53.306Z,A1XK77VP2S13YC,colorful
Chrome,1050,null,null,953,76,2019-09-03T15:00:53.306Z,A1XK77VP2S13YC,red
Chrome,1050,null,null,1002,83,2019-09-03T15:00:53.306Z,A1XK77VP2S13YC,red
Chrome,1050,null,null,999,83,2019-09-03T15:00:53.306Z,A1XK77VP2S13YC,odd
Chrome,1050,null,null,993,76,2019-09-03T15:00:53.306Z,A1XK77VP2S13YC,colorful
Chrome,1050,null,null,1001,76,2019-09-03T15:00:53.306Z,A1XK77VP2S13YC,odd
Chrome,1050,null,null,972,83,2019-09-03T15:00:53.306Z,A1XK77VP2S13YC,odd
Chrome,1050,null,null,969,76,2019-09-03T15:00:53.306Z,A1XK77VP2S13YC,colorful
Chrome,1050,null,null,1023,83,2019-09-03T15:00:53.306Z,A1XK77VP2S13YC,colorful
Chrome,1050,null,null,1023,76,2019-09-03T15:00:53.306Z,A1XK77VP2S13YC,red
Chrome,1050,null,null,957,83,2019-09-03T15:00:53.306Z,A1XK77VP2S13YC,red
Chrome,1050,null,null,1025,76,2019-09-03T15:00:53.306Z,A1XK77VP2S13YC,red
Chrome,1050,null,null,950,76,2019-09-03T15:00:53.306Z,A1XK77VP2S13YC,odd
Chrome,1050,null,null,965,83,2019-09-03T15:00:53.306Z,A1XK77VP2S13YC,red
Chrome,1050,null,null,1004,83,2019-09-03T15:00:53.306Z,A1XK77VP2S13YC,odd
Chrome,1050,null,null,1046,83,2019-09-03T15:00:53.306Z,A1XK77VP2S13YC,odd
Chrome,1050,null,null,1004,83,2019-09-03T15:00:53.306Z,A1XK77VP2S13YC,red
Chrome,1050,null,null,1034,83,2019-09-03T15:00:53.306Z,A1XK77VP2S13YC,colorful
Chrome,1050,null,null,1027,83,2019-09-03T15:00:53.306Z,A1XK77VP2S13YC,colorful
Chrome,1050,null,null,987,83,2019-09-03T15:00:53.306Z,A1XK77VP2S13YC,colorful
Chrome,1050,2019-09-03T15:12:47.643Z,"This was hard, they all seemed so close...",1049,83,2019-09-03T15:00:53.306Z,A1XK77VP2S13YC,red
