X1.browser,X1.duration,X1.endTime,X1.feedback,X1.isi,X1.judgment,X1.startTime,X1.subjectID,X1.type,X1.correct
Chrome,1050,null,null,1041,76,2019-09-10T15:17:36.989Z,A22AHPN2HZHFSV,colorful,1
Chrome,1050,null,null,1016,83,2019-09-10T15:17:36.989Z,A22AHPN2HZHFSV,odd,0
Chrome,1050,null,null,1036,83,2019-09-10T15:17:36.989Z,A22AHPN2HZHFSV,red,0
Chrome,1050,null,null,999,76,2019-09-10T15:17:36.989Z,A22AHPN2HZHFSV,colorful,1
Chrome,1050,null,null,997,83,2019-09-10T15:17:36.989Z,A22AHPN2HZHFSV,odd,0
Chrome,1050,null,null,1005,76,2019-09-10T15:17:36.989Z,A22AHPN2HZHFSV,odd,1
Chrome,1050,null,null,953,83,2019-09-10T15:17:36.989Z,A22AHPN2HZHFSV,colorful,0
Chrome,1050,null,null,952,83,2019-09-10T15:17:36.989Z,A22AHPN2HZHFSV,red,0
Chrome,1050,null,null,988,83,2019-09-10T15:17:36.989Z,A22AHPN2HZHFSV,red,0
Chrome,1050,null,null,1002,76,2019-09-10T15:17:36.989Z,A22AHPN2HZHFSV,colorful,1
Chrome,1050,null,null,966,76,2019-09-10T15:17:36.989Z,A22AHPN2HZHFSV,odd,1
Chrome,1050,null,null,1021,83,2019-09-10T15:17:36.989Z,A22AHPN2HZHFSV,red,0
Chrome,1050,null,null,1001,76,2019-09-10T15:17:36.989Z,A22AHPN2HZHFSV,colorful,1
Chrome,1050,null,null,1017,76,2019-09-10T15:17:36.989Z,A22AHPN2HZHFSV,odd,1
Chrome,1050,null,null,981,76,2019-09-10T15:17:36.989Z,A22AHPN2HZHFSV,red,1
Chrome,1050,null,null,957,76,2019-09-10T15:17:36.989Z,A22AHPN2HZHFSV,odd,1
Chrome,1050,null,null,996,83,2019-09-10T15:17:36.989Z,A22AHPN2HZHFSV,red,0
Chrome,1050,null,null,1010,83,2019-09-10T15:17:36.989Z,A22AHPN2HZHFSV,colorful,0
Chrome,1050,null,null,1012,83,2019-09-10T15:17:36.989Z,A22AHPN2HZHFSV,colorful,0
Chrome,1050,null,null,1036,76,2019-09-10T15:17:36.989Z,A22AHPN2HZHFSV,odd,1
Chrome,1050,null,null,1027,83,2019-09-10T15:17:36.989Z,A22AHPN2HZHFSV,red,0
Chrome,1050,null,null,975,76,2019-09-10T15:17:36.989Z,A22AHPN2HZHFSV,odd,1
Chrome,1050,null,null,980,76,2019-09-10T15:17:36.989Z,A22AHPN2HZHFSV,colorful,1
Chrome,1050,null,null,1027,83,2019-09-10T15:17:36.989Z,A22AHPN2HZHFSV,odd,0
Chrome,1050,null,null,1049,83,2019-09-10T15:17:36.989Z,A22AHPN2HZHFSV,colorful,0
Chrome,1050,null,null,1043,83,2019-09-10T15:17:36.989Z,A22AHPN2HZHFSV,red,0
Chrome,1050,2019-09-10T15:29:43.768Z,,951,83,2019-09-10T15:17:36.989Z,A22AHPN2HZHFSV,red,0
