X1.browser,X1.duration,X1.endTime,X1.feedback,X1.isi,X1.judgment,X1.startTime,X1.subjectID,X1.type,X1.correct
Chrome,1050,null,null,1036,83,2019-09-10T15:01:31.670Z,A248LF7KKHXZ14,colorful,0
Chrome,1050,null,null,1021,83,2019-09-10T15:01:31.670Z,A248LF7KKHXZ14,colorful,0
Chrome,1050,null,null,1014,83,2019-09-10T15:01:31.670Z,A248LF7KKHXZ14,odd,0
Chrome,1050,null,null,1004,76,2019-09-10T15:01:31.670Z,A248LF7KKHXZ14,odd,1
Chrome,1050,null,null,1046,76,2019-09-10T15:01:31.670Z,A248LF7KKHXZ14,red,1
Chrome,1050,null,null,998,83,2019-09-10T15:01:31.670Z,A248LF7KKHXZ14,colorful,0
Chrome,1050,null,null,965,76,2019-09-10T15:01:31.670Z,A248LF7KKHXZ14,red,1
Chrome,1050,null,null,1012,76,2019-09-10T15:01:31.670Z,A248LF7KKHXZ14,odd,1
Chrome,1050,null,null,977,83,2019-09-10T15:01:31.670Z,A248LF7KKHXZ14,red,0
Chrome,1050,null,null,1033,76,2019-09-10T15:01:31.670Z,A248LF7KKHXZ14,red,1
Chrome,1050,null,null,1021,76,2019-09-10T15:01:31.670Z,A248LF7KKHXZ14,red,1
Chrome,1050,null,null,1012,83,2019-09-10T15:01:31.670Z,A248LF7KKHXZ14,colorful,0
Chrome,1050,null,null,956,76,2019-09-10T15:01:31.670Z,A248LF7KKHXZ14,colorful,1
Chrome,1050,null,null,971,76,2019-09-10T15:01:31.670Z,A248LF7KKHXZ14,red,1
Chrome,1050,null,null,1019,83,2019-09-10T15:01:31.670Z,A248LF7KKHXZ14,odd,0
Chrome,1050,null,null,985,83,2019-09-10T15:01:31.670Z,A248LF7KKHXZ14,odd,0
Chrome,1050,null,null,1022,76,2019-09-10T15:01:31.670Z,A248LF7KKHXZ14,colorful,1
Chrome,1050,null,null,1039,76,2019-09-10T15:01:31.670Z,A248LF7KKHXZ14,odd,1
Chrome,1050,null,null,1021,76,2019-09-10T15:01:31.670Z,A248LF7KKHXZ14,odd,1
Chrome,1050,null,null,955,76,2019-09-10T15:01:31.670Z,A248LF7KKHXZ14,red,1
Chrome,1050,null,null,992,76,2019-09-10T15:01:31.670Z,A248LF7KKHXZ14,red,1
Chrome,1050,null,null,957,76,2019-09-10T15:01:31.670Z,A248LF7KKHXZ14,red,1
Chrome,1050,null,null,1028,83,2019-09-10T15:01:31.670Z,A248LF7KKHXZ14,colorful,0
Chrome,1050,null,null,993,76,2019-09-10T15:01:31.670Z,A248LF7KKHXZ14,odd,1
Chrome,1050,null,null,958,83,2019-09-10T15:01:31.670Z,A248LF7KKHXZ14,colorful,0
Chrome,1050,null,null,1025,83,2019-09-10T15:01:31.670Z,A248LF7KKHXZ14,colorful,0
Chrome,1050,2019-09-10T15:12:40.961Z,it was harder than i thought to judge,1046,83,2019-09-10T15:01:31.670Z,A248LF7KKHXZ14,odd,0
