X1.browser,X1.duration,X1.endTime,X1.feedback,X1.isi,X1.judgment,X1.startTime,X1.subjectID,X1.type,X1.correct
Chrome,1050,null,null,1039,83,2019-09-10T14:53:27.712Z,A2ETXCA9X5P484,odd,0
Chrome,1050,null,null,1010,76,2019-09-10T14:53:27.712Z,A2ETXCA9X5P484,colorful,1
Chrome,1050,null,null,968,83,2019-09-10T14:53:27.712Z,A2ETXCA9X5P484,colorful,0
Chrome,1050,null,null,997,76,2019-09-10T14:53:27.712Z,A2ETXCA9X5P484,odd,1
Chrome,1050,null,null,951,83,2019-09-10T14:53:27.712Z,A2ETXCA9X5P484,red,0
Chrome,1050,null,null,1007,76,2019-09-10T14:53:27.712Z,A2ETXCA9X5P484,red,1
Chrome,1050,null,null,959,76,2019-09-10T14:53:27.712Z,A2ETXCA9X5P484,odd,1
Chrome,1050,null,null,1006,76,2019-09-10T14:53:27.712Z,A2ETXCA9X5P484,colorful,1
Chrome,1050,null,null,995,83,2019-09-10T14:53:27.712Z,A2ETXCA9X5P484,red,0
Chrome,1050,null,null,1033,76,2019-09-10T14:53:27.712Z,A2ETXCA9X5P484,odd,1
Chrome,1050,null,null,978,76,2019-09-10T14:53:27.712Z,A2ETXCA9X5P484,odd,1
Chrome,1050,null,null,1044,83,2019-09-10T14:53:27.712Z,A2ETXCA9X5P484,red,0
Chrome,1050,null,null,1035,76,2019-09-10T14:53:27.712Z,A2ETXCA9X5P484,colorful,1
Chrome,1050,null,null,972,83,2019-09-10T14:53:27.712Z,A2ETXCA9X5P484,odd,0
Chrome,1050,null,null,954,76,2019-09-10T14:53:27.712Z,A2ETXCA9X5P484,red,1
Chrome,1050,null,null,1031,83,2019-09-10T14:53:27.712Z,A2ETXCA9X5P484,colorful,0
Chrome,1050,null,null,1003,76,2019-09-10T14:53:27.712Z,A2ETXCA9X5P484,red,1
Chrome,1050,null,null,1022,76,2019-09-10T14:53:27.712Z,A2ETXCA9X5P484,colorful,1
Chrome,1050,null,null,962,76,2019-09-10T14:53:27.712Z,A2ETXCA9X5P484,red,1
Chrome,1050,null,null,979,76,2019-09-10T14:53:27.712Z,A2ETXCA9X5P484,colorful,1
Chrome,1050,null,null,991,76,2019-09-10T14:53:27.712Z,A2ETXCA9X5P484,colorful,1
Chrome,1050,null,null,1031,76,2019-09-10T14:53:27.712Z,A2ETXCA9X5P484,odd,1
Chrome,1050,null,null,987,76,2019-09-10T14:53:27.712Z,A2ETXCA9X5P484,red,1
Chrome,1050,null,null,960,76,2019-09-10T14:53:27.712Z,A2ETXCA9X5P484,red,1
Chrome,1050,null,null,1013,83,2019-09-10T14:53:27.712Z,A2ETXCA9X5P484,colorful,0
Chrome,1050,null,null,1036,76,2019-09-10T14:53:27.712Z,A2ETXCA9X5P484,odd,1
Chrome,1050,2019-09-10T15:07:42.737Z,,1022,76,2019-09-10T14:53:27.712Z,A2ETXCA9X5P484,odd,1
