X1.browser,X1.duration,X1.endTime,X1.feedback,X1.isi,X1.judgment,X1.startTime,X1.subjectID,X1.type,X1.correct
Chrome,1050,null,null,1047,83,2019-09-10T15:19:10.821Z,A2UTDZAZV1DF0N,colorful,0
Chrome,1050,null,null,1022,83,2019-09-10T15:19:10.821Z,A2UTDZAZV1DF0N,colorful,0
Chrome,1050,null,null,976,76,2019-09-10T15:19:10.821Z,A2UTDZAZV1DF0N,red,1
Chrome,1050,null,null,1017,83,2019-09-10T15:19:10.821Z,A2UTDZAZV1DF0N,red,0
Chrome,1050,null,null,969,83,2019-09-10T15:19:10.821Z,A2UTDZAZV1DF0N,odd,0
Chrome,1050,null,null,973,83,2019-09-10T15:19:10.821Z,A2UTDZAZV1DF0N,odd,0
Chrome,1050,null,null,1038,76,2019-09-10T15:19:10.821Z,A2UTDZAZV1DF0N,red,1
Chrome,1050,null,null,1046,83,2019-09-10T15:19:10.821Z,A2UTDZAZV1DF0N,odd,0
Chrome,1050,null,null,1026,83,2019-09-10T15:19:10.821Z,A2UTDZAZV1DF0N,colorful,0
Chrome,1050,null,null,990,76,2019-09-10T15:19:10.821Z,A2UTDZAZV1DF0N,colorful,1
Chrome,1050,null,null,1009,83,2019-09-10T15:19:10.821Z,A2UTDZAZV1DF0N,colorful,0
Chrome,1050,null,null,1046,76,2019-09-10T15:19:10.821Z,A2UTDZAZV1DF0N,odd,1
Chrome,1050,null,null,1046,76,2019-09-10T15:19:10.821Z,A2UTDZAZV1DF0N,red,1
Chrome,1050,null,null,1036,83,2019-09-10T15:19:10.821Z,A2UTDZAZV1DF0N,odd,0
Chrome,1050,null,null,961,76,2019-09-10T15:19:10.821Z,A2UTDZAZV1DF0N,red,1
Chrome,1050,null,null,972,83,2019-09-10T15:19:10.821Z,A2UTDZAZV1DF0N,odd,0
Chrome,1050,null,null,1014,76,2019-09-10T15:19:10.821Z,A2UTDZAZV1DF0N,colorful,1
Chrome,1050,null,null,979,83,2019-09-10T15:19:10.821Z,A2UTDZAZV1DF0N,red,0
Chrome,1050,null,null,955,76,2019-09-10T15:19:10.821Z,A2UTDZAZV1DF0N,colorful,1
Chrome,1050,null,null,1005,76,2019-09-10T15:19:10.821Z,A2UTDZAZV1DF0N,red,1
Chrome,1050,null,null,986,83,2019-09-10T15:19:10.821Z,A2UTDZAZV1DF0N,odd,0
Chrome,1050,null,null,1007,76,2019-09-10T15:19:10.821Z,A2UTDZAZV1DF0N,odd,1
Chrome,1050,null,null,996,76,2019-09-10T15:19:10.821Z,A2UTDZAZV1DF0N,red,1
Chrome,1050,null,null,1020,76,2019-09-10T15:19:10.821Z,A2UTDZAZV1DF0N,red,1
Chrome,1050,null,null,998,76,2019-09-10T15:19:10.821Z,A2UTDZAZV1DF0N,colorful,1
Chrome,1050,null,null,1022,83,2019-09-10T15:19:10.821Z,A2UTDZAZV1DF0N,odd,0
Chrome,1050,2019-09-10T15:29:53.052Z,no problems,995,83,2019-09-10T15:19:10.821Z,A2UTDZAZV1DF0N,colorful,0
