X1.browser,X1.duration,X1.endTime,X1.feedback,X1.isi,X1.judgment,X1.startTime,X1.subjectID,X1.type,X1.correct
Chrome,1050,null,null,1026,83,2019-09-10T14:22:09.662Z,A3PKTPXXORWR97,red,0
Chrome,1050,null,null,1039,83,2019-09-10T14:22:09.662Z,A3PKTPXXORWR97,red,0
Chrome,1050,null,null,981,83,2019-09-10T14:22:09.662Z,A3PKTPXXORWR97,odd,0
Chrome,1050,null,null,1014,76,2019-09-10T14:22:09.662Z,A3PKTPXXORWR97,red,1
Chrome,1050,null,null,986,76,2019-09-10T14:22:09.662Z,A3PKTPXXORWR97,colorful,1
Chrome,1050,null,null,998,83,2019-09-10T14:22:09.662Z,A3PKTPXXORWR97,colorful,0
Chrome,1050,null,null,1017,76,2019-09-10T14:22:09.662Z,A3PKTPXXORWR97,odd,1
Chrome,1050,null,null,1012,76,2019-09-10T14:22:09.662Z,A3PKTPXXORWR97,colorful,1
Chrome,1050,null,null,958,76,2019-09-10T14:22:09.662Z,A3PKTPXXORWR97,odd,1
Chrome,1050,null,null,957,76,2019-09-10T14:22:09.662Z,A3PKTPXXORWR97,odd,1
Chrome,1050,null,null,1024,76,2019-09-10T14:22:09.662Z,A3PKTPXXORWR97,odd,1
Chrome,1050,null,null,1035,76,2019-09-10T14:22:09.662Z,A3PKTPXXORWR97,red,1
Chrome,1050,null,null,968,76,2019-09-10T14:22:09.662Z,A3PKTPXXORWR97,colorful,1
Chrome,1050,null,null,1039,76,2019-09-10T14:22:09.662Z,A3PKTPXXORWR97,red,1
Chrome,1050,null,null,956,83,2019-09-10T14:22:09.662Z,A3PKTPXXORWR97,red,0
Chrome,1050,null,null,987,83,2019-09-10T14:22:09.662Z,A3PKTPXXORWR97,odd,0
Chrome,1050,null,null,1022,83,2019-09-10T14:22:09.662Z,A3PKTPXXORWR97,colorful,0
Chrome,1050,null,null,1013,83,2019-09-10T14:22:09.662Z,A3PKTPXXORWR97,colorful,0
Chrome,1050,null,null,955,83,2019-09-10T14:22:09.662Z,A3PKTPXXORWR97,colorful,0
Chrome,1050,null,null,964,76,2019-09-10T14:22:09.662Z,A3PKTPXXORWR97,red,1
Chrome,1050,null,null,1005,76,2019-09-10T14:22:09.662Z,A3PKTPXXORWR97,odd,1
Chrome,1050,null,null,983,76,2019-09-10T14:22:09.662Z,A3PKTPXXORWR97,red,1
Chrome,1050,null,null,1029,76,2019-09-10T14:22:09.662Z,A3PKTPXXORWR97,odd,1
Chrome,1050,null,null,1032,83,2019-09-10T14:22:09.662Z,A3PKTPXXORWR97,odd,0
Chrome,1050,null,null,997,83,2019-09-10T14:22:09.662Z,A3PKTPXXORWR97,colorful,0
Chrome,1050,null,null,965,76,2019-09-10T14:22:09.662Z,A3PKTPXXORWR97,red,1
Chrome,1050,2019-09-10T14:49:40.840Z,,1024,83,2019-09-10T14:22:09.662Z,A3PKTPXXORWR97,colorful,0
