X1.browser,X1.duration,X1.endTime,X1.feedback,X1.isi,X1.judgment,X1.startTime,X1.subjectID,X1.type,X1.correct
Chrome,1050,null,null,984,76,2019-09-10T14:26:33.536Z,A6SF30ZZJMJ1N,odd,1
Chrome,1050,null,null,1014,83,2019-09-10T14:26:33.536Z,A6SF30ZZJMJ1N,red,0
Chrome,1050,null,null,1006,76,2019-09-10T14:26:33.536Z,A6SF30ZZJMJ1N,odd,1
Chrome,1050,null,null,985,83,2019-09-10T14:26:33.536Z,A6SF30ZZJMJ1N,red,0
Chrome,1050,null,null,950,83,2019-09-10T14:26:33.536Z,A6SF30ZZJMJ1N,colorful,0
Chrome,1050,null,null,971,76,2019-09-10T14:26:33.536Z,A6SF30ZZJMJ1N,colorful,1
Chrome,1050,null,null,1014,76,2019-09-10T14:26:33.536Z,A6SF30ZZJMJ1N,red,1
Chrome,1050,null,null,1020,76,2019-09-10T14:26:33.536Z,A6SF30ZZJMJ1N,odd,1
Chrome,1050,null,null,1017,83,2019-09-10T14:26:33.536Z,A6SF30ZZJMJ1N,colorful,0
Chrome,1050,null,null,1039,76,2019-09-10T14:26:33.536Z,A6SF30ZZJMJ1N,odd,1
Chrome,1050,null,null,989,83,2019-09-10T14:26:33.536Z,A6SF30ZZJMJ1N,red,0
Chrome,1050,null,null,1007,83,2019-09-10T14:26:33.536Z,A6SF30ZZJMJ1N,red,0
Chrome,1050,null,null,972,83,2019-09-10T14:26:33.536Z,A6SF30ZZJMJ1N,colorful,0
Chrome,1050,null,null,1000,83,2019-09-10T14:26:33.536Z,A6SF30ZZJMJ1N,red,0
Chrome,1050,null,null,959,76,2019-09-10T14:26:33.536Z,A6SF30ZZJMJ1N,odd,1
Chrome,1050,null,null,978,76,2019-09-10T14:26:33.536Z,A6SF30ZZJMJ1N,odd,1
Chrome,1050,null,null,959,83,2019-09-10T14:26:33.536Z,A6SF30ZZJMJ1N,colorful,0
Chrome,1050,null,null,1032,83,2019-09-10T14:26:33.536Z,A6SF30ZZJMJ1N,colorful,0
Chrome,1050,null,null,980,76,2019-09-10T14:26:33.536Z,A6SF30ZZJMJ1N,odd,1
Chrome,1050,null,null,1029,76,2019-09-10T14:26:33.536Z,A6SF30ZZJMJ1N,colorful,1
Chrome,1050,null,null,992,76,2019-09-10T14:26:33.536Z,A6SF30ZZJMJ1N,red,1
Chrome,1050,null,null,1015,83,2019-09-10T14:26:33.536Z,A6SF30ZZJMJ1N,red,0
Chrome,1050,null,null,964,83,2019-09-10T14:26:33.536Z,A6SF30ZZJMJ1N,red,0
Chrome,1050,null,null,992,76,2019-09-10T14:26:33.536Z,A6SF30ZZJMJ1N,odd,1
Chrome,1050,null,null,968,76,2019-09-10T14:26:33.536Z,A6SF30ZZJMJ1N,colorful,1
Chrome,1050,null,null,954,76,2019-09-10T14:26:33.536Z,A6SF30ZZJMJ1N,odd,1
Chrome,1050,2019-09-10T14:38:07.186Z,No problems! Just tried to imagine the pulsing as a tone in my head to make trying to tell a difference between it and the odd one easier.,970,83,2019-09-10T14:26:33.536Z,A6SF30ZZJMJ1N,colorful,0
