X1.browser,X1.duration,X1.endTime,X1.feedback,X1.isi,X1.judgment,X1.startTime,X1.subjectID,X1.type,X1.correct
Chrome,1050,null,null,1029,76,2019-09-10T15:02:43.725Z,ADF5F7Z0SP0B3,odd,1
Chrome,1050,null,null,993,76,2019-09-10T15:02:43.725Z,ADF5F7Z0SP0B3,colorful,1
Chrome,1050,null,null,968,76,2019-09-10T15:02:43.725Z,ADF5F7Z0SP0B3,colorful,1
Chrome,1050,null,null,967,76,2019-09-10T15:02:43.725Z,ADF5F7Z0SP0B3,red,1
Chrome,1050,null,null,1034,76,2019-09-10T15:02:43.725Z,ADF5F7Z0SP0B3,red,1
Chrome,1050,null,null,955,76,2019-09-10T15:02:43.725Z,ADF5F7Z0SP0B3,odd,1
Chrome,1050,null,null,964,83,2019-09-10T15:02:43.725Z,ADF5F7Z0SP0B3,colorful,0
Chrome,1050,null,null,1024,83,2019-09-10T15:02:43.725Z,ADF5F7Z0SP0B3,odd,0
Chrome,1050,null,null,974,76,2019-09-10T15:02:43.725Z,ADF5F7Z0SP0B3,red,1
Chrome,1050,null,null,974,76,2019-09-10T15:02:43.725Z,ADF5F7Z0SP0B3,odd,1
Chrome,1050,null,null,1032,76,2019-09-10T15:02:43.725Z,ADF5F7Z0SP0B3,odd,1
Chrome,1050,null,null,1038,76,2019-09-10T15:02:43.725Z,ADF5F7Z0SP0B3,red,1
Chrome,1050,null,null,1034,83,2019-09-10T15:02:43.725Z,ADF5F7Z0SP0B3,colorful,0
Chrome,1050,null,null,1001,76,2019-09-10T15:02:43.725Z,ADF5F7Z0SP0B3,odd,1
Chrome,1050,null,null,1043,83,2019-09-10T15:02:43.725Z,ADF5F7Z0SP0B3,colorful,0
Chrome,1050,null,null,1009,83,2019-09-10T15:02:43.725Z,ADF5F7Z0SP0B3,colorful,0
Chrome,1050,null,null,1029,76,2019-09-10T15:02:43.725Z,ADF5F7Z0SP0B3,red,1
Chrome,1050,null,null,953,76,2019-09-10T15:02:43.725Z,ADF5F7Z0SP0B3,red,1
Chrome,1050,null,null,1020,76,2019-09-10T15:02:43.725Z,ADF5F7Z0SP0B3,colorful,1
Chrome,1050,null,null,1017,76,2019-09-10T15:02:43.725Z,ADF5F7Z0SP0B3,red,1
Chrome,1050,null,null,979,76,2019-09-10T15:02:43.725Z,ADF5F7Z0SP0B3,red,1
Chrome,1050,null,null,1036,76,2019-09-10T15:02:43.725Z,ADF5F7Z0SP0B3,odd,1
Chrome,1050,null,null,1003,83,2019-09-10T15:02:43.725Z,ADF5F7Z0SP0B3,odd,0
Chrome,1050,null,null,997,83,2019-09-10T15:02:43.725Z,ADF5F7Z0SP0B3,colorful,0
Chrome,1050,null,null,955,76,2019-09-10T15:02:43.725Z,ADF5F7Z0SP0B3,odd,1
Chrome,1050,null,null,976,76,2019-09-10T15:02:43.725Z,ADF5F7Z0SP0B3,red,1
Chrome,1050,2019-09-10T15:16:40.325Z,need more instruction with examples.but easy to work this survey.,1031,83,2019-09-10T15:02:43.725Z,ADF5F7Z0SP0B3,colorful,0
