X1.browser,X1.duration,X1.endTime,X1.feedback,X1.isi,X1.judgment,X1.startTime,X1.subjectID,X1.type,X1.correct
Chrome,1050,null,null,1043,76,2019-09-10T14:38:59.480Z,AJZC3FBSU0GE6,colorful,1
Chrome,1050,null,null,1016,83,2019-09-10T14:38:59.480Z,AJZC3FBSU0GE6,red,0
Chrome,1050,null,null,994,83,2019-09-10T14:38:59.480Z,AJZC3FBSU0GE6,odd,0
Chrome,1050,null,null,972,76,2019-09-10T14:38:59.480Z,AJZC3FBSU0GE6,odd,1
Chrome,1050,null,null,993,76,2019-09-10T14:38:59.480Z,AJZC3FBSU0GE6,red,1
Chrome,1050,null,null,988,83,2019-09-10T14:38:59.480Z,AJZC3FBSU0GE6,colorful,0
Chrome,1050,null,null,978,76,2019-09-10T14:38:59.480Z,AJZC3FBSU0GE6,odd,1
Chrome,1050,null,null,1019,76,2019-09-10T14:38:59.480Z,AJZC3FBSU0GE6,red,1
Chrome,1050,null,null,1045,83,2019-09-10T14:38:59.480Z,AJZC3FBSU0GE6,colorful,0
Chrome,1050,null,null,1049,76,2019-09-10T14:38:59.480Z,AJZC3FBSU0GE6,colorful,1
Chrome,1050,null,null,1028,83,2019-09-10T14:38:59.480Z,AJZC3FBSU0GE6,odd,0
Chrome,1050,null,null,970,76,2019-09-10T14:38:59.480Z,AJZC3FBSU0GE6,colorful,1
Chrome,1050,null,null,1000,76,2019-09-10T14:38:59.480Z,AJZC3FBSU0GE6,red,1
Chrome,1050,null,null,959,76,2019-09-10T14:38:59.480Z,AJZC3FBSU0GE6,red,1
Chrome,1050,null,null,1005,83,2019-09-10T14:38:59.480Z,AJZC3FBSU0GE6,odd,0
Chrome,1050,null,null,958,83,2019-09-10T14:38:59.480Z,AJZC3FBSU0GE6,red,0
Chrome,1050,null,null,1007,76,2019-09-10T14:38:59.480Z,AJZC3FBSU0GE6,odd,1
Chrome,1050,null,null,1048,76,2019-09-10T14:38:59.480Z,AJZC3FBSU0GE6,colorful,1
Chrome,1050,null,null,988,83,2019-09-10T14:38:59.480Z,AJZC3FBSU0GE6,odd,0
Chrome,1050,null,null,997,76,2019-09-10T14:38:59.480Z,AJZC3FBSU0GE6,odd,1
Chrome,1050,null,null,1046,83,2019-09-10T14:38:59.480Z,AJZC3FBSU0GE6,red,0
Chrome,1050,null,null,1013,83,2019-09-10T14:38:59.480Z,AJZC3FBSU0GE6,red,0
Chrome,1050,null,null,972,83,2019-09-10T14:38:59.480Z,AJZC3FBSU0GE6,colorful,0
Chrome,1050,null,null,955,76,2019-09-10T14:38:59.480Z,AJZC3FBSU0GE6,odd,1
Chrome,1050,null,null,1033,76,2019-09-10T14:38:59.480Z,AJZC3FBSU0GE6,colorful,1
Chrome,1050,null,null,995,83,2019-09-10T14:38:59.480Z,AJZC3FBSU0GE6,red,0
Chrome,1050,2019-09-10T14:50:07.839Z,,967,83,2019-09-10T14:38:59.480Z,AJZC3FBSU0GE6,colorful,0
