X1.browser,X1.duration,X1.endTime,X1.feedback,X1.isi,X1.judgment,X1.startTime,X1.subjectID,X1.type
Chrome,1050,null,null,1004,83,2019-09-03T15:19:53.813Z,AKW57KYG90X61,odd
Chrome,1050,null,null,1040,83,2019-09-03T15:19:53.813Z,AKW57KYG90X61,colorful
Chrome,1050,null,null,1010,83,2019-09-03T15:19:53.813Z,AKW57KYG90X61,colorful
Chrome,1050,null,null,1010,83,2019-09-03T15:19:53.813Z,AKW57KYG90X61,red
Chrome,1050,null,null,985,76,2019-09-03T15:19:53.813Z,AKW57KYG90X61,odd
Chrome,1050,null,null,991,83,2019-09-03T15:19:53.813Z,AKW57KYG90X61,odd
Chrome,1050,null,null,969,83,2019-09-03T15:19:53.813Z,AKW57KYG90X61,colorful
Chrome,1050,null,null,960,83,2019-09-03T15:19:53.813Z,AKW57KYG90X61,red
Chrome,1050,null,null,1041,76,2019-09-03T15:19:53.813Z,AKW57KYG90X61,red
Chrome,1050,null,null,984,76,2019-09-03T15:19:53.813Z,AKW57KYG90X61,red
Chrome,1050,null,null,970,83,2019-09-03T15:19:53.813Z,AKW57KYG90X61,odd
Chrome,1050,null,null,1021,83,2019-09-03T15:19:53.813Z,AKW57KYG90X61,red
Chrome,1050,null,null,1005,76,2019-09-03T15:19:53.813Z,AKW57KYG90X61,colorful
Chrome,1050,null,null,959,83,2019-09-03T15:19:53.813Z,AKW57KYG90X61,odd
Chrome,1050,null,null,1014,83,2019-09-03T15:19:53.813Z,AKW57KYG90X61,red
Chrome,1050,null,null,980,76,2019-09-03T15:19:53.813Z,AKW57KYG90X61,colorful
Chrome,1050,null,null,984,76,2019-09-03T15:19:53.813Z,AKW57KYG90X61,colorful
Chrome,1050,null,null,1045,83,2019-09-03T15:19:53.813Z,AKW57KYG90X61,odd
Chrome,1050,null,null,969,83,2019-09-03T15:19:53.813Z,AKW57KYG90X61,red
Chrome,1050,null,null,959,83,2019-09-03T15:19:53.813Z,AKW57KYG90X61,red
Chrome,1050,null,null,1039,83,2019-09-03T15:19:53.813Z,AKW57KYG90X61,odd
Chrome,1050,null,null,972,83,2019-09-03T15:19:53.813Z,AKW57KYG90X61,colorful
Chrome,1050,null,null,959,76,2019-09-03T15:19:53.813Z,AKW57KYG90X61,odd
Chrome,1050,null,null,1032,83,2019-09-03T15:19:53.813Z,AKW57KYG90X61,colorful
Chrome,1050,null,null,1009,76,2019-09-03T15:19:53.813Z,AKW57KYG90X61,odd
Chrome,1050,null,null,956,83,2019-09-03T15:19:53.813Z,AKW57KYG90X61,colorful
Chrome,1050,2019-09-03T15:35:48.725Z,This was too long for the pay.,1025,76,2019-09-03T15:19:53.813Z,AKW57KYG90X61,red
