X1.browser,X1.duration,X1.endTime,X1.feedback,X1.isi,X1.judgment,X1.startTime,X1.subjectID,X1.type,X1.correct
Chrome,1050,null,null,1005,76,2019-09-10T15:27:50.380Z,ALTMSSCYKZS8Z,odd,1
Chrome,1050,null,null,1031,83,2019-09-10T15:27:50.380Z,ALTMSSCYKZS8Z,colorful,0
Chrome,1050,null,null,1005,76,2019-09-10T15:27:50.380Z,ALTMSSCYKZS8Z,red,1
Chrome,1050,null,null,1048,83,2019-09-10T15:27:50.380Z,ALTMSSCYKZS8Z,colorful,0
Chrome,1050,null,null,1009,76,2019-09-10T15:27:50.380Z,ALTMSSCYKZS8Z,odd,1
Chrome,1050,null,null,1032,76,2019-09-10T15:27:50.380Z,ALTMSSCYKZS8Z,red,1
Chrome,1050,null,null,963,76,2019-09-10T15:27:50.380Z,ALTMSSCYKZS8Z,red,1
Chrome,1050,null,null,958,83,2019-09-10T15:27:50.380Z,ALTMSSCYKZS8Z,odd,0
Chrome,1050,null,null,965,83,2019-09-10T15:27:50.380Z,ALTMSSCYKZS8Z,colorful,0
Chrome,1050,null,null,951,76,2019-09-10T15:27:50.380Z,ALTMSSCYKZS8Z,odd,1
Chrome,1050,null,null,1035,83,2019-09-10T15:27:50.380Z,ALTMSSCYKZS8Z,colorful,0
Chrome,1050,null,null,970,83,2019-09-10T15:27:50.380Z,ALTMSSCYKZS8Z,colorful,0
Chrome,1050,null,null,1006,83,2019-09-10T15:27:50.380Z,ALTMSSCYKZS8Z,colorful,0
Chrome,1050,null,null,1035,76,2019-09-10T15:27:50.380Z,ALTMSSCYKZS8Z,red,1
Chrome,1050,null,null,1007,76,2019-09-10T15:27:50.380Z,ALTMSSCYKZS8Z,red,1
Chrome,1050,null,null,1010,76,2019-09-10T15:27:50.380Z,ALTMSSCYKZS8Z,odd,1
Chrome,1050,null,null,1046,76,2019-09-10T15:27:50.380Z,ALTMSSCYKZS8Z,red,1
Chrome,1050,null,null,979,76,2019-09-10T15:27:50.380Z,ALTMSSCYKZS8Z,odd,1
Chrome,1050,null,null,956,76,2019-09-10T15:27:50.380Z,ALTMSSCYKZS8Z,red,1
Chrome,1050,null,null,1022,83,2019-09-10T15:27:50.380Z,ALTMSSCYKZS8Z,colorful,0
Chrome,1050,null,null,1004,76,2019-09-10T15:27:50.380Z,ALTMSSCYKZS8Z,odd,1
Chrome,1050,null,null,1001,76,2019-09-10T15:27:50.380Z,ALTMSSCYKZS8Z,odd,1
Chrome,1050,null,null,1017,76,2019-09-10T15:27:50.380Z,ALTMSSCYKZS8Z,red,1
Chrome,1050,null,null,955,76,2019-09-10T15:27:50.380Z,ALTMSSCYKZS8Z,red,1
Chrome,1050,null,null,1029,83,2019-09-10T15:27:50.380Z,ALTMSSCYKZS8Z,colorful,0
Chrome,1050,null,null,1009,83,2019-09-10T15:27:50.380Z,ALTMSSCYKZS8Z,colorful,0
Chrome,1050,2019-09-10T15:38:13.228Z,,972,76,2019-09-10T15:27:50.380Z,ALTMSSCYKZS8Z,odd,1
