X1.browser,X1.duration,X1.endTime,X1.feedback,X1.isi,X1.judgment,X1.startTime,X1.subjectID,X1.type,X1.correct
Chrome,1050,null,null,1029,83,2019-09-10T15:01:30.994Z,AM8OWAW9TUVLN,odd,0
Chrome,1050,null,null,1044,83,2019-09-10T15:01:30.994Z,AM8OWAW9TUVLN,red,0
Chrome,1050,null,null,950,76,2019-09-10T15:01:30.994Z,AM8OWAW9TUVLN,odd,1
Chrome,1050,null,null,989,76,2019-09-10T15:01:30.994Z,AM8OWAW9TUVLN,colorful,1
Chrome,1050,null,null,1043,83,2019-09-10T15:01:30.994Z,AM8OWAW9TUVLN,colorful,0
Chrome,1050,null,null,1047,76,2019-09-10T15:01:30.994Z,AM8OWAW9TUVLN,red,1
Chrome,1050,null,null,988,76,2019-09-10T15:01:30.994Z,AM8OWAW9TUVLN,odd,1
Chrome,1050,null,null,972,76,2019-09-10T15:01:30.994Z,AM8OWAW9TUVLN,red,1
Chrome,1050,null,null,1045,83,2019-09-10T15:01:30.994Z,AM8OWAW9TUVLN,colorful,0
Chrome,1050,null,null,1001,76,2019-09-10T15:01:30.994Z,AM8OWAW9TUVLN,red,1
Chrome,1050,null,null,977,83,2019-09-10T15:01:30.994Z,AM8OWAW9TUVLN,colorful,0
Chrome,1050,null,null,1010,83,2019-09-10T15:01:30.994Z,AM8OWAW9TUVLN,colorful,0
Chrome,1050,null,null,1006,76,2019-09-10T15:01:30.994Z,AM8OWAW9TUVLN,odd,1
Chrome,1050,null,null,986,76,2019-09-10T15:01:30.994Z,AM8OWAW9TUVLN,red,1
Chrome,1050,null,null,1004,83,2019-09-10T15:01:30.994Z,AM8OWAW9TUVLN,colorful,0
Chrome,1050,null,null,956,76,2019-09-10T15:01:30.994Z,AM8OWAW9TUVLN,red,1
Chrome,1050,null,null,994,76,2019-09-10T15:01:30.994Z,AM8OWAW9TUVLN,odd,1
Chrome,1050,null,null,971,76,2019-09-10T15:01:30.994Z,AM8OWAW9TUVLN,odd,1
Chrome,1050,null,null,1019,83,2019-09-10T15:01:30.994Z,AM8OWAW9TUVLN,colorful,0
Chrome,1050,null,null,967,83,2019-09-10T15:01:30.994Z,AM8OWAW9TUVLN,colorful,0
Chrome,1050,null,null,1019,83,2019-09-10T15:01:30.994Z,AM8OWAW9TUVLN,colorful,0
Chrome,1050,null,null,998,76,2019-09-10T15:01:30.994Z,AM8OWAW9TUVLN,red,1
Chrome,1050,null,null,970,76,2019-09-10T15:01:30.994Z,AM8OWAW9TUVLN,red,1
Chrome,1050,null,null,1002,76,2019-09-10T15:01:30.994Z,AM8OWAW9TUVLN,red,1
Chrome,1050,null,null,978,76,2019-09-10T15:01:30.994Z,AM8OWAW9TUVLN,odd,1
Chrome,1050,null,null,1019,76,2019-09-10T15:01:30.994Z,AM8OWAW9TUVLN,odd,1
Chrome,1050,2019-09-10T15:11:45.148Z,Thanks!,957,83,2019-09-10T15:01:30.994Z,AM8OWAW9TUVLN,odd,0
