X1.browser,X1.duration,X1.endTime,X1.feedback,X1.isi,X1.judgment,X1.startTime,X1.subjectID,X1.type
Chrome,900,null,null,971,76,2019-09-03T22:01:46.684Z,A1AS4S7BOJPOEY,odd
Chrome,525,null,null,970,76,2019-09-03T22:01:46.684Z,A1AS4S7BOJPOEY,odd
Chrome,450,null,null,1035,83,2019-09-03T22:01:46.684Z,A1AS4S7BOJPOEY,red
Chrome,750,null,null,950,76,2019-09-03T22:01:46.684Z,A1AS4S7BOJPOEY,odd
Chrome,975,null,null,1013,83,2019-09-03T22:01:46.684Z,A1AS4S7BOJPOEY,colorful
Chrome,600,null,null,1019,83,2019-09-03T22:01:46.684Z,A1AS4S7BOJPOEY,colorful
Chrome,1050,null,null,1047,83,2019-09-03T22:01:46.684Z,A1AS4S7BOJPOEY,colorful
Chrome,825,null,null,987,76,2019-09-03T22:01:46.684Z,A1AS4S7BOJPOEY,red
Chrome,675,null,null,971,76,2019-09-03T22:01:46.684Z,A1AS4S7BOJPOEY,red
Chrome,600,null,null,987,76,2019-09-03T22:01:46.684Z,A1AS4S7BOJPOEY,colorful
Chrome,675,null,null,1001,83,2019-09-03T22:01:46.684Z,A1AS4S7BOJPOEY,colorful
Chrome,525,null,null,1040,83,2019-09-03T22:01:46.684Z,A1AS4S7BOJPOEY,odd
Chrome,975,null,null,975,76,2019-09-03T22:01:46.684Z,A1AS4S7BOJPOEY,colorful
Chrome,900,null,null,1049,83,2019-09-03T22:01:46.684Z,A1AS4S7BOJPOEY,odd
Chrome,450,null,null,981,76,2019-09-03T22:01:46.684Z,A1AS4S7BOJPOEY,red
Chrome,750,null,null,978,76,2019-09-03T22:01:46.684Z,A1AS4S7BOJPOEY,red
Chrome,1050,null,null,994,76,2019-09-03T22:01:46.684Z,A1AS4S7BOJPOEY,red
Chrome,825,null,null,980,76,2019-09-03T22:01:46.684Z,A1AS4S7BOJPOEY,odd
Chrome,750,null,null,983,76,2019-09-03T22:01:46.684Z,A1AS4S7BOJPOEY,odd
Chrome,1050,null,null,1009,83,2019-09-03T22:01:46.684Z,A1AS4S7BOJPOEY,red
Chrome,600,null,null,962,83,2019-09-03T22:01:46.684Z,A1AS4S7BOJPOEY,colorful
Chrome,825,null,null,951,83,2019-09-03T22:01:46.684Z,A1AS4S7BOJPOEY,red
Chrome,975,null,null,957,83,2019-09-03T22:01:46.684Z,A1AS4S7BOJPOEY,colorful
Chrome,525,null,null,990,83,2019-09-03T22:01:46.684Z,A1AS4S7BOJPOEY,colorful
Chrome,675,null,null,1043,83,2019-09-03T22:01:46.684Z,A1AS4S7BOJPOEY,red
Chrome,900,null,null,1027,76,2019-09-03T22:01:46.684Z,A1AS4S7BOJPOEY,odd
Chrome,450,2019-09-03T22:22:11.414Z,,985,76,2019-09-03T22:01:46.684Z,A1AS4S7BOJPOEY,odd
