X1.browser,X1.duration,X1.endTime,X1.feedback,X1.isi,X1.judgment,X1.startTime,X1.subjectID,X1.type
Chrome,975,null,null,1034,83,2019-09-03T20:27:45.211Z,A29SMGPDP7K9NU,red
Chrome,750,null,null,984,83,2019-09-03T20:27:45.211Z,A29SMGPDP7K9NU,colorful
Chrome,825,null,null,998,83,2019-09-03T20:27:45.211Z,A29SMGPDP7K9NU,colorful
Chrome,675,null,null,1049,83,2019-09-03T20:27:45.211Z,A29SMGPDP7K9NU,red
Chrome,525,null,null,1026,83,2019-09-03T20:27:45.211Z,A29SMGPDP7K9NU,odd
Chrome,900,null,null,988,76,2019-09-03T20:27:45.211Z,A29SMGPDP7K9NU,colorful
Chrome,450,null,null,979,83,2019-09-03T20:27:45.211Z,A29SMGPDP7K9NU,odd
Chrome,1050,null,null,1022,76,2019-09-03T20:27:45.211Z,A29SMGPDP7K9NU,odd
Chrome,600,null,null,974,83,2019-09-03T20:27:45.211Z,A29SMGPDP7K9NU,red
Chrome,675,null,null,1010,83,2019-09-03T20:27:45.211Z,A29SMGPDP7K9NU,colorful
Chrome,900,null,null,994,83,2019-09-03T20:27:45.211Z,A29SMGPDP7K9NU,colorful
Chrome,975,null,null,1045,83,2019-09-03T20:27:45.211Z,A29SMGPDP7K9NU,colorful
Chrome,750,null,null,1029,83,2019-09-03T20:27:45.211Z,A29SMGPDP7K9NU,odd
Chrome,525,null,null,1007,83,2019-09-03T20:27:45.211Z,A29SMGPDP7K9NU,odd
Chrome,1050,null,null,964,76,2019-09-03T20:27:45.211Z,A29SMGPDP7K9NU,red
Chrome,825,null,null,1020,83,2019-09-03T20:27:45.211Z,A29SMGPDP7K9NU,red
Chrome,600,null,null,990,83,2019-09-03T20:27:45.211Z,A29SMGPDP7K9NU,odd
Chrome,450,null,null,1000,83,2019-09-03T20:27:45.211Z,A29SMGPDP7K9NU,red
Chrome,600,null,null,1039,83,2019-09-03T20:27:45.211Z,A29SMGPDP7K9NU,odd
Chrome,450,null,null,1030,83,2019-09-03T20:27:45.211Z,A29SMGPDP7K9NU,red
Chrome,1050,null,null,980,76,2019-09-03T20:27:45.211Z,A29SMGPDP7K9NU,colorful
Chrome,750,null,null,1025,83,2019-09-03T20:27:45.211Z,A29SMGPDP7K9NU,colorful
Chrome,525,null,null,1023,83,2019-09-03T20:27:45.211Z,A29SMGPDP7K9NU,colorful
Chrome,825,null,null,1016,83,2019-09-03T20:27:45.211Z,A29SMGPDP7K9NU,odd
Chrome,675,null,null,957,83,2019-09-03T20:27:45.211Z,A29SMGPDP7K9NU,red
Chrome,975,null,null,964,76,2019-09-03T20:27:45.211Z,A29SMGPDP7K9NU,red
Chrome,900,2019-09-03T20:43:14.818Z,,995,83,2019-09-03T20:27:45.211Z,A29SMGPDP7K9NU,odd
