X1.browser,X1.duration,X1.endTime,X1.feedback,X1.isi,X1.judgment,X1.startTime,X1.subjectID,X1.type
Chrome,525,null,null,976,83,2019-09-03T20:25:31.386Z,A2MKXI4KCRRI7Y,red
Chrome,900,null,null,1013,83,2019-09-03T20:25:31.386Z,A2MKXI4KCRRI7Y,red
Chrome,600,null,null,1003,83,2019-09-03T20:25:31.386Z,A2MKXI4KCRRI7Y,odd
Chrome,450,null,null,956,83,2019-09-03T20:25:31.386Z,A2MKXI4KCRRI7Y,red
Chrome,750,null,null,981,83,2019-09-03T20:25:31.386Z,A2MKXI4KCRRI7Y,colorful
Chrome,675,null,null,1037,83,2019-09-03T20:25:31.386Z,A2MKXI4KCRRI7Y,colorful
Chrome,1050,null,null,1027,76,2019-09-03T20:25:31.386Z,A2MKXI4KCRRI7Y,odd
Chrome,825,null,null,1019,83,2019-09-03T20:25:31.386Z,A2MKXI4KCRRI7Y,colorful
Chrome,975,null,null,1002,76,2019-09-03T20:25:31.386Z,A2MKXI4KCRRI7Y,odd
Chrome,450,null,null,963,83,2019-09-03T20:25:31.386Z,A2MKXI4KCRRI7Y,colorful
Chrome,750,null,null,1024,83,2019-09-03T20:25:31.386Z,A2MKXI4KCRRI7Y,colorful
Chrome,900,null,null,986,83,2019-09-03T20:25:31.386Z,A2MKXI4KCRRI7Y,red
Chrome,1050,null,null,1044,76,2019-09-03T20:25:31.386Z,A2MKXI4KCRRI7Y,colorful
Chrome,975,null,null,1024,76,2019-09-03T20:25:31.386Z,A2MKXI4KCRRI7Y,odd
Chrome,525,null,null,992,83,2019-09-03T20:25:31.386Z,A2MKXI4KCRRI7Y,odd
Chrome,825,null,null,969,76,2019-09-03T20:25:31.386Z,A2MKXI4KCRRI7Y,odd
Chrome,600,null,null,973,83,2019-09-03T20:25:31.386Z,A2MKXI4KCRRI7Y,red
Chrome,675,null,null,1017,83,2019-09-03T20:25:31.386Z,A2MKXI4KCRRI7Y,red
Chrome,975,null,null,997,83,2019-09-03T20:25:31.386Z,A2MKXI4KCRRI7Y,red
Chrome,1050,null,null,960,76,2019-09-03T20:25:31.386Z,A2MKXI4KCRRI7Y,red
Chrome,525,null,null,1007,83,2019-09-03T20:25:31.386Z,A2MKXI4KCRRI7Y,red
Chrome,600,null,null,950,83,2019-09-03T20:25:31.386Z,A2MKXI4KCRRI7Y,odd
Chrome,825,null,null,977,83,2019-09-03T20:25:31.386Z,A2MKXI4KCRRI7Y,colorful
Chrome,675,null,null,1008,83,2019-09-03T20:25:31.386Z,A2MKXI4KCRRI7Y,odd
Chrome,750,null,null,993,83,2019-09-03T20:25:31.386Z,A2MKXI4KCRRI7Y,colorful
Chrome,900,null,null,961,83,2019-09-03T20:25:31.386Z,A2MKXI4KCRRI7Y,colorful
Chrome,450,2019-09-03T20:35:30.805Z,,988,83,2019-09-03T20:25:31.386Z,A2MKXI4KCRRI7Y,odd
