X1.browser,X1.duration,X1.endTime,X1.feedback,X1.isi,X1.judgment,X1.startTime,X1.subjectID,X1.type
Chrome,1050,null,null,1021,76,2019-09-03T16:33:01.523Z,AIEKCWYZTS41V,red
Chrome,1050,null,null,967,76,2019-09-03T16:33:01.523Z,AIEKCWYZTS41V,red
Chrome,1050,null,null,1000,83,2019-09-03T16:33:01.523Z,AIEKCWYZTS41V,colorful
Chrome,1050,null,null,1018,76,2019-09-03T16:33:01.523Z,AIEKCWYZTS41V,red
Chrome,1050,null,null,978,83,2019-09-03T16:33:01.523Z,AIEKCWYZTS41V,odd
Chrome,1050,null,null,1016,83,2019-09-03T16:33:01.523Z,AIEKCWYZTS41V,odd
Chrome,1050,null,null,1006,83,2019-09-03T16:33:01.523Z,AIEKCWYZTS41V,colorful
Chrome,1050,null,null,966,76,2019-09-03T16:33:01.523Z,AIEKCWYZTS41V,colorful
Chrome,1050,null,null,980,83,2019-09-03T16:33:01.523Z,AIEKCWYZTS41V,odd
Chrome,1050,null,null,979,76,2019-09-03T16:33:01.523Z,AIEKCWYZTS41V,colorful
Chrome,1050,null,null,987,83,2019-09-03T16:33:01.523Z,AIEKCWYZTS41V,odd
Chrome,1050,null,null,973,83,2019-09-03T16:33:01.523Z,AIEKCWYZTS41V,colorful
Chrome,1050,null,null,1018,83,2019-09-03T16:33:01.523Z,AIEKCWYZTS41V,red
Chrome,1050,null,null,1007,76,2019-09-03T16:33:01.523Z,AIEKCWYZTS41V,red
Chrome,1050,null,null,1008,83,2019-09-03T16:33:01.523Z,AIEKCWYZTS41V,odd
Chrome,1050,null,null,1032,76,2019-09-03T16:33:01.523Z,AIEKCWYZTS41V,colorful
Chrome,1050,null,null,1049,83,2019-09-03T16:33:01.523Z,AIEKCWYZTS41V,red
Chrome,1050,null,null,1011,83,2019-09-03T16:33:01.523Z,AIEKCWYZTS41V,odd
Chrome,1050,null,null,1034,83,2019-09-03T16:33:01.523Z,AIEKCWYZTS41V,odd
Chrome,1050,null,null,984,76,2019-09-03T16:33:01.523Z,AIEKCWYZTS41V,colorful
Chrome,1050,null,null,1006,83,2019-09-03T16:33:01.523Z,AIEKCWYZTS41V,odd
Chrome,1050,null,null,1021,83,2019-09-03T16:33:01.523Z,AIEKCWYZTS41V,colorful
Chrome,1050,null,null,1005,83,2019-09-03T16:33:01.523Z,AIEKCWYZTS41V,red
Chrome,1050,null,null,1015,76,2019-09-03T16:33:01.523Z,AIEKCWYZTS41V,red
Chrome,1050,null,null,1022,83,2019-09-03T16:33:01.523Z,AIEKCWYZTS41V,red
Chrome,1050,null,null,1011,76,2019-09-03T16:33:01.523Z,AIEKCWYZTS41V,odd
Chrome,1050,2019-09-03T16:43:50.079Z,,1039,76,2019-09-03T16:33:01.523Z,AIEKCWYZTS41V,colorful
