X1.browser,X1.duration,X1.endTime,X1.feedback,X1.isi,X1.judgment,X1.startTime,X1.subjectID,X1.type
Chrome,675,null,null,1021,76,2019-09-03T21:24:35.299Z,AMHUDJ44HF1ZH,red
Chrome,825,null,null,1007,83,2019-09-03T21:24:35.299Z,AMHUDJ44HF1ZH,odd
Chrome,525,null,null,982,76,2019-09-03T21:24:35.299Z,AMHUDJ44HF1ZH,odd
Chrome,975,null,null,998,76,2019-09-03T21:24:35.299Z,AMHUDJ44HF1ZH,colorful
Chrome,600,null,null,957,83,2019-09-03T21:24:35.299Z,AMHUDJ44HF1ZH,red
Chrome,750,null,null,983,83,2019-09-03T21:24:35.299Z,AMHUDJ44HF1ZH,red
Chrome,900,null,null,1008,76,2019-09-03T21:24:35.299Z,AMHUDJ44HF1ZH,colorful
Chrome,450,null,null,960,83,2019-09-03T21:24:35.299Z,AMHUDJ44HF1ZH,odd
Chrome,1050,null,null,1020,76,2019-09-03T21:24:35.299Z,AMHUDJ44HF1ZH,colorful
Chrome,975,null,null,969,76,2019-09-03T21:24:35.299Z,AMHUDJ44HF1ZH,colorful
Chrome,900,null,null,996,83,2019-09-03T21:24:35.299Z,AMHUDJ44HF1ZH,odd
Chrome,750,null,null,960,83,2019-09-03T21:24:35.299Z,AMHUDJ44HF1ZH,red
Chrome,675,null,null,1024,76,2019-09-03T21:24:35.299Z,AMHUDJ44HF1ZH,colorful
Chrome,600,null,null,1039,76,2019-09-03T21:24:35.299Z,AMHUDJ44HF1ZH,colorful
Chrome,525,null,null,1012,83,2019-09-03T21:24:35.299Z,AMHUDJ44HF1ZH,red
Chrome,1050,null,null,970,83,2019-09-03T21:24:35.299Z,AMHUDJ44HF1ZH,odd
Chrome,450,null,null,1049,83,2019-09-03T21:24:35.299Z,AMHUDJ44HF1ZH,odd
Chrome,825,null,null,989,83,2019-09-03T21:24:35.299Z,AMHUDJ44HF1ZH,red
Chrome,900,null,null,1010,76,2019-09-03T21:24:35.299Z,AMHUDJ44HF1ZH,colorful
Chrome,675,null,null,1023,83,2019-09-03T21:24:35.299Z,AMHUDJ44HF1ZH,red
Chrome,825,null,null,994,76,2019-09-03T21:24:35.299Z,AMHUDJ44HF1ZH,odd
Chrome,750,null,null,1015,76,2019-09-03T21:24:35.299Z,AMHUDJ44HF1ZH,colorful
Chrome,975,null,null,1014,83,2019-09-03T21:24:35.299Z,AMHUDJ44HF1ZH,odd
Chrome,450,null,null,985,83,2019-09-03T21:24:35.299Z,AMHUDJ44HF1ZH,red
Chrome,1050,null,null,982,76,2019-09-03T21:24:35.299Z,AMHUDJ44HF1ZH,colorful
Chrome,525,null,null,1043,83,2019-09-03T21:24:35.299Z,AMHUDJ44HF1ZH,red
Chrome,600,2019-09-03T21:34:52.456Z,,994,76,2019-09-03T21:24:35.299Z,AMHUDJ44HF1ZH,odd
