X1.browser,X1.duration,X1.endTime,X1.feedback,X1.isi,X1.judgment,X1.startTime,X1.subjectID,X1.type,X1.correct
Chrome,825,null,null,1023,83,2019-09-03T20:46:28.480Z,A1F1TBDHPYAAXT,colorful,0
Chrome,450,null,null,1009,83,2019-09-03T20:46:28.480Z,A1F1TBDHPYAAXT,colorful,0
Chrome,750,null,null,994,83,2019-09-03T20:46:28.480Z,A1F1TBDHPYAAXT,odd,0
Chrome,975,null,null,954,76,2019-09-03T20:46:28.480Z,A1F1TBDHPYAAXT,colorful,1
Chrome,675,null,null,994,76,2019-09-03T20:46:28.480Z,A1F1TBDHPYAAXT,red,1
Chrome,1050,null,null,1024,76,2019-09-03T20:46:28.480Z,A1F1TBDHPYAAXT,odd,1
Chrome,525,null,null,1013,83,2019-09-03T20:46:28.480Z,A1F1TBDHPYAAXT,red,0
Chrome,600,null,null,962,83,2019-09-03T20:46:28.480Z,A1F1TBDHPYAAXT,odd,0
Chrome,900,null,null,1035,76,2019-09-03T20:46:28.480Z,A1F1TBDHPYAAXT,red,1
Chrome,450,null,null,1035,83,2019-09-03T20:46:28.480Z,A1F1TBDHPYAAXT,red,0
Chrome,750,null,null,959,83,2019-09-03T20:46:28.480Z,A1F1TBDHPYAAXT,colorful,0
Chrome,675,null,null,1030,83,2019-09-03T20:46:28.480Z,A1F1TBDHPYAAXT,odd,0
Chrome,1050,null,null,997,76,2019-09-03T20:46:28.480Z,A1F1TBDHPYAAXT,red,1
Chrome,600,null,null,1029,83,2019-09-03T20:46:28.480Z,A1F1TBDHPYAAXT,colorful,0
Chrome,900,null,null,989,83,2019-09-03T20:46:28.480Z,A1F1TBDHPYAAXT,colorful,0
Chrome,525,null,null,1019,83,2019-09-03T20:46:28.480Z,A1F1TBDHPYAAXT,red,0
Chrome,975,null,null,1000,76,2019-09-03T20:46:28.480Z,A1F1TBDHPYAAXT,odd,1
Chrome,825,null,null,1031,83,2019-09-03T20:46:28.480Z,A1F1TBDHPYAAXT,odd,0
Chrome,675,null,null,970,83,2019-09-03T20:46:28.480Z,A1F1TBDHPYAAXT,colorful,0
Chrome,525,null,null,973,83,2019-09-03T20:46:28.480Z,A1F1TBDHPYAAXT,colorful,0
Chrome,600,null,null,982,83,2019-09-03T20:46:28.480Z,A1F1TBDHPYAAXT,odd,0
Chrome,825,null,null,1016,76,2019-09-03T20:46:28.480Z,A1F1TBDHPYAAXT,odd,1
Chrome,975,null,null,965,76,2019-09-03T20:46:28.480Z,A1F1TBDHPYAAXT,colorful,1
Chrome,750,null,null,988,83,2019-09-03T20:46:28.480Z,A1F1TBDHPYAAXT,red,0
Chrome,1050,null,null,996,76,2019-09-03T20:46:28.480Z,A1F1TBDHPYAAXT,red,1
Chrome,450,null,null,987,83,2019-09-03T20:46:28.480Z,A1F1TBDHPYAAXT,red,0
Chrome,900,2019-09-03T21:06:14.712Z,no problems,990,83,2019-09-03T20:46:28.480Z,A1F1TBDHPYAAXT,odd,0
