X1.browser,X1.duration,X1.endTime,X1.feedback,X1.isi,X1.judgment,X1.startTime,X1.subjectID,X1.type,X1.correct
Chrome,525,null,null,970,83,2019-09-03T21:55:36.837Z,A1Y4C2TYJFRF1G,red,0
Chrome,600,null,null,1010,83,2019-09-03T21:55:36.837Z,A1Y4C2TYJFRF1G,red,0
Chrome,675,null,null,1011,83,2019-09-03T21:55:36.837Z,A1Y4C2TYJFRF1G,colorful,0
Chrome,900,null,null,980,83,2019-09-03T21:55:36.837Z,A1Y4C2TYJFRF1G,odd,0
Chrome,450,null,null,1028,83,2019-09-03T21:55:36.837Z,A1Y4C2TYJFRF1G,red,0
Chrome,825,null,null,1041,83,2019-09-03T21:55:36.837Z,A1Y4C2TYJFRF1G,odd,0
Chrome,975,null,null,1017,76,2019-09-03T21:55:36.837Z,A1Y4C2TYJFRF1G,colorful,1
Chrome,750,null,null,1021,83,2019-09-03T21:55:36.837Z,A1Y4C2TYJFRF1G,odd,0
Chrome,1050,null,null,1039,76,2019-09-03T21:55:36.837Z,A1Y4C2TYJFRF1G,colorful,1
Chrome,900,null,null,1029,83,2019-09-03T21:55:36.837Z,A1Y4C2TYJFRF1G,red,0
Chrome,975,null,null,958,76,2019-09-03T21:55:36.837Z,A1Y4C2TYJFRF1G,red,1
Chrome,675,null,null,991,83,2019-09-03T21:55:36.837Z,A1Y4C2TYJFRF1G,red,0
Chrome,525,null,null,989,83,2019-09-03T21:55:36.837Z,A1Y4C2TYJFRF1G,colorful,0
Chrome,825,null,null,998,83,2019-09-03T21:55:36.837Z,A1Y4C2TYJFRF1G,colorful,0
Chrome,450,null,null,1019,83,2019-09-03T21:55:36.837Z,A1Y4C2TYJFRF1G,odd,0
Chrome,750,null,null,991,83,2019-09-03T21:55:36.837Z,A1Y4C2TYJFRF1G,odd,0
Chrome,1050,null,null,1044,76,2019-09-03T21:55:36.837Z,A1Y4C2TYJFRF1G,colorful,1
Chrome,600,null,null,1001,83,2019-09-03T21:55:36.837Z,A1Y4C2TYJFRF1G,odd,0
Chrome,975,null,null,1036,83,2019-09-03T21:55:36.837Z,A1Y4C2TYJFRF1G,colorful,0
Chrome,600,null,null,1007,83,2019-09-03T21:55:36.837Z,A1Y4C2TYJFRF1G,colorful,0
Chrome,450,null,null,1040,83,2019-09-03T21:55:36.837Z,A1Y4C2TYJFRF1G,red,0
Chrome,675,null,null,1026,76,2019-09-03T21:55:36.837Z,A1Y4C2TYJFRF1G,odd,1
Chrome,825,null,null,957,83,2019-09-03T21:55:36.837Z,A1Y4C2TYJFRF1G,colorful,0
Chrome,525,null,null,980,83,2019-09-03T21:55:36.837Z,A1Y4C2TYJFRF1G,red,0
Chrome,1050,null,null,956,76,2019-09-03T21:55:36.837Z,A1Y4C2TYJFRF1G,odd,1
Chrome,900,null,null,963,83,2019-09-03T21:55:36.837Z,A1Y4C2TYJFRF1G,red,0
Chrome,750,2019-09-03T22:07:21.693Z,,957,83,2019-09-03T21:55:36.837Z,A1Y4C2TYJFRF1G,odd,0
