X1.browser,X1.duration,X1.endTime,X1.feedback,X1.isi,X1.judgment,X1.startTime,X1.subjectID,X1.type,X1.correct
Chrome,1050,null,null,954,83,2019-09-03T22:07:09.890Z,A2ML4TEAJTDQD0,colorful,0
Chrome,975,null,null,1006,83,2019-09-03T22:07:09.890Z,A2ML4TEAJTDQD0,red,0
Chrome,825,null,null,1035,76,2019-09-03T22:07:09.890Z,A2ML4TEAJTDQD0,odd,1
Chrome,525,null,null,968,83,2019-09-03T22:07:09.890Z,A2ML4TEAJTDQD0,red,0
Chrome,750,null,null,1010,83,2019-09-03T22:07:09.890Z,A2ML4TEAJTDQD0,red,0
Chrome,600,null,null,1027,83,2019-09-03T22:07:09.890Z,A2ML4TEAJTDQD0,odd,0
Chrome,900,null,null,952,83,2019-09-03T22:07:09.890Z,A2ML4TEAJTDQD0,odd,0
Chrome,675,null,null,991,83,2019-09-03T22:07:09.890Z,A2ML4TEAJTDQD0,colorful,0
Chrome,450,null,null,1029,83,2019-09-03T22:07:09.890Z,A2ML4TEAJTDQD0,colorful,0
Chrome,1050,null,null,1011,76,2019-09-03T22:07:09.890Z,A2ML4TEAJTDQD0,odd,1
Chrome,525,null,null,970,83,2019-09-03T22:07:09.890Z,A2ML4TEAJTDQD0,colorful,0
Chrome,825,null,null,1039,83,2019-09-03T22:07:09.890Z,A2ML4TEAJTDQD0,odd,0
Chrome,450,null,null,1007,83,2019-09-03T22:07:09.890Z,A2ML4TEAJTDQD0,red,0
Chrome,600,null,null,983,83,2019-09-03T22:07:09.890Z,A2ML4TEAJTDQD0,odd,0
Chrome,900,null,null,997,76,2019-09-03T22:07:09.890Z,A2ML4TEAJTDQD0,red,1
Chrome,750,null,null,1009,83,2019-09-03T22:07:09.890Z,A2ML4TEAJTDQD0,colorful,0
Chrome,975,null,null,950,83,2019-09-03T22:07:09.890Z,A2ML4TEAJTDQD0,red,0
Chrome,675,null,null,994,83,2019-09-03T22:07:09.890Z,A2ML4TEAJTDQD0,colorful,0
Chrome,750,null,null,975,83,2019-09-03T22:07:09.890Z,A2ML4TEAJTDQD0,red,0
Chrome,975,null,null,1031,83,2019-09-03T22:07:09.890Z,A2ML4TEAJTDQD0,red,0
Chrome,525,null,null,1041,83,2019-09-03T22:07:09.890Z,A2ML4TEAJTDQD0,odd,0
Chrome,900,null,null,950,83,2019-09-03T22:07:09.890Z,A2ML4TEAJTDQD0,colorful,0
Chrome,450,null,null,957,83,2019-09-03T22:07:09.890Z,A2ML4TEAJTDQD0,colorful,0
Chrome,1050,null,null,973,76,2019-09-03T22:07:09.890Z,A2ML4TEAJTDQD0,odd,1
Chrome,675,null,null,952,83,2019-09-03T22:07:09.890Z,A2ML4TEAJTDQD0,red,0
Chrome,600,null,null,1044,83,2019-09-03T22:07:09.890Z,A2ML4TEAJTDQD0,colorful,0
Chrome,825,2019-09-03T22:17:55.234Z,,962,76,2019-09-03T22:07:09.890Z,A2ML4TEAJTDQD0,odd,1
