X1.browser,X1.duration,X1.endTime,X1.feedback,X1.isi,X1.judgment,X1.startTime,X1.subjectID,X1.type,X1.correct
Chrome,975,null,null,1042,76,2019-09-03T21:01:40.273Z,A2N5O2OTCXM8Z4,odd,1
Chrome,900,null,null,996,83,2019-09-03T21:01:40.273Z,A2N5O2OTCXM8Z4,red,0
Chrome,825,null,null,984,83,2019-09-03T21:01:40.273Z,A2N5O2OTCXM8Z4,colorful,0
Chrome,450,null,null,971,76,2019-09-03T21:01:40.273Z,A2N5O2OTCXM8Z4,odd,1
Chrome,1050,null,null,1036,83,2019-09-03T21:01:40.273Z,A2N5O2OTCXM8Z4,colorful,0
Chrome,525,null,null,960,76,2019-09-03T21:01:40.273Z,A2N5O2OTCXM8Z4,colorful,1
Chrome,750,null,null,1038,83,2019-09-03T21:01:40.273Z,A2N5O2OTCXM8Z4,odd,0
Chrome,675,null,null,988,83,2019-09-03T21:01:40.273Z,A2N5O2OTCXM8Z4,red,0
Chrome,600,null,null,992,83,2019-09-03T21:01:40.273Z,A2N5O2OTCXM8Z4,red,0
Chrome,450,null,null,995,83,2019-09-03T21:01:40.273Z,A2N5O2OTCXM8Z4,odd,0
Chrome,675,null,null,1045,76,2019-09-03T21:01:40.273Z,A2N5O2OTCXM8Z4,red,1
Chrome,975,null,null,985,76,2019-09-03T21:01:40.273Z,A2N5O2OTCXM8Z4,odd,1
Chrome,1050,null,null,995,76,2019-09-03T21:01:40.273Z,A2N5O2OTCXM8Z4,colorful,1
Chrome,900,null,null,1029,83,2019-09-03T21:01:40.273Z,A2N5O2OTCXM8Z4,red,0
Chrome,750,null,null,1048,76,2019-09-03T21:01:40.273Z,A2N5O2OTCXM8Z4,colorful,1
Chrome,600,null,null,1032,76,2019-09-03T21:01:40.273Z,A2N5O2OTCXM8Z4,colorful,1
Chrome,825,null,null,957,76,2019-09-03T21:01:40.273Z,A2N5O2OTCXM8Z4,red,1
Chrome,525,null,null,954,76,2019-09-03T21:01:40.273Z,A2N5O2OTCXM8Z4,odd,1
Chrome,900,null,null,1039,76,2019-09-03T21:01:40.273Z,A2N5O2OTCXM8Z4,odd,1
Chrome,825,null,null,977,76,2019-09-03T21:01:40.273Z,A2N5O2OTCXM8Z4,red,1
Chrome,675,null,null,985,83,2019-09-03T21:01:40.273Z,A2N5O2OTCXM8Z4,red,0
Chrome,975,null,null,1037,83,2019-09-03T21:01:40.273Z,A2N5O2OTCXM8Z4,red,0
Chrome,750,null,null,993,83,2019-09-03T21:01:40.273Z,A2N5O2OTCXM8Z4,odd,0
Chrome,600,null,null,1048,83,2019-09-03T21:01:40.273Z,A2N5O2OTCXM8Z4,odd,0
Chrome,1050,null,null,952,76,2019-09-03T21:01:40.273Z,A2N5O2OTCXM8Z4,colorful,1
Chrome,525,null,null,977,76,2019-09-03T21:01:40.273Z,A2N5O2OTCXM8Z4,colorful,1
Chrome,450,2019-09-03T21:40:04.236Z,Good,1011,76,2019-09-03T21:01:40.273Z,A2N5O2OTCXM8Z4,colorful,1
