X1.browser,X1.duration,X1.endTime,X1.feedback,X1.isi,X1.judgment,X1.startTime,X1.subjectID,X1.type,X1.correct
Chrome,900,null,null,1029,76,2019-09-03T22:21:07.779Z,A31681CCEVDIH3,red,1
Chrome,675,null,null,1000,83,2019-09-03T22:21:07.779Z,A31681CCEVDIH3,odd,0
Chrome,975,null,null,976,83,2019-09-03T22:21:07.779Z,A31681CCEVDIH3,red,0
Chrome,825,null,null,989,83,2019-09-03T22:21:07.779Z,A31681CCEVDIH3,odd,0
Chrome,600,null,null,974,76,2019-09-03T22:21:07.779Z,A31681CCEVDIH3,odd,1
Chrome,525,null,null,970,83,2019-09-03T22:21:07.779Z,A31681CCEVDIH3,red,0
Chrome,750,null,null,1047,83,2019-09-03T22:21:07.779Z,A31681CCEVDIH3,colorful,0
Chrome,450,null,null,1048,76,2019-09-03T22:21:07.779Z,A31681CCEVDIH3,colorful,1
Chrome,1050,null,null,1013,83,2019-09-03T22:21:07.779Z,A31681CCEVDIH3,colorful,0
Chrome,900,null,null,1024,76,2019-09-03T22:21:07.779Z,A31681CCEVDIH3,red,1
Chrome,750,null,null,962,76,2019-09-03T22:21:07.779Z,A31681CCEVDIH3,colorful,1
Chrome,975,null,null,992,83,2019-09-03T22:21:07.779Z,A31681CCEVDIH3,odd,0
Chrome,825,null,null,1000,83,2019-09-03T22:21:07.779Z,A31681CCEVDIH3,colorful,0
Chrome,450,null,null,974,83,2019-09-03T22:21:07.779Z,A31681CCEVDIH3,red,0
Chrome,675,null,null,973,83,2019-09-03T22:21:07.779Z,A31681CCEVDIH3,odd,0
Chrome,600,null,null,970,83,2019-09-03T22:21:07.779Z,A31681CCEVDIH3,colorful,0
Chrome,525,null,null,1023,83,2019-09-03T22:21:07.779Z,A31681CCEVDIH3,odd,0
Chrome,1050,null,null,1047,83,2019-09-03T22:21:07.779Z,A31681CCEVDIH3,red,0
Chrome,450,null,null,954,83,2019-09-03T22:21:07.779Z,A31681CCEVDIH3,odd,0
Chrome,525,null,null,1025,76,2019-09-03T22:21:07.779Z,A31681CCEVDIH3,red,1
Chrome,1050,null,null,1043,83,2019-09-03T22:21:07.779Z,A31681CCEVDIH3,colorful,0
Chrome,975,null,null,972,76,2019-09-03T22:21:07.779Z,A31681CCEVDIH3,colorful,1
Chrome,600,null,null,1042,83,2019-09-03T22:21:07.779Z,A31681CCEVDIH3,colorful,0
Chrome,750,null,null,972,76,2019-09-03T22:21:07.779Z,A31681CCEVDIH3,odd,1
Chrome,675,null,null,966,83,2019-09-03T22:21:07.779Z,A31681CCEVDIH3,red,0
Chrome,900,null,null,1019,76,2019-09-03T22:21:07.779Z,A31681CCEVDIH3,red,1
Chrome,825,2019-09-03T22:31:49.121Z,,960,76,2019-09-03T22:21:07.779Z,A31681CCEVDIH3,odd,1
