X1.browser,X1.duration,X1.endTime,X1.feedback,X1.isi,X1.judgment,X1.startTime,X1.subjectID,X1.type,X1.correct
Chrome,975,null,null,1011,76,2019-09-03T20:45:51.666Z,A3LC6M2EMDBBXP,odd,1
Chrome,1050,null,null,990,83,2019-09-03T20:45:51.666Z,A3LC6M2EMDBBXP,red,0
Chrome,900,null,null,997,76,2019-09-03T20:45:51.666Z,A3LC6M2EMDBBXP,colorful,1
Chrome,450,null,null,1028,83,2019-09-03T20:45:51.666Z,A3LC6M2EMDBBXP,odd,0
Chrome,825,null,null,958,83,2019-09-03T20:45:51.666Z,A3LC6M2EMDBBXP,colorful,0
Chrome,525,null,null,980,83,2019-09-03T20:45:51.666Z,A3LC6M2EMDBBXP,red,0
Chrome,600,null,null,1039,83,2019-09-03T20:45:51.666Z,A3LC6M2EMDBBXP,red,0
Chrome,750,null,null,1036,76,2019-09-03T20:45:51.666Z,A3LC6M2EMDBBXP,colorful,1
Chrome,675,null,null,959,83,2019-09-03T20:45:51.666Z,A3LC6M2EMDBBXP,odd,0
Chrome,525,null,null,999,83,2019-09-03T20:45:51.666Z,A3LC6M2EMDBBXP,odd,0
Chrome,750,null,null,994,83,2019-09-03T20:45:51.666Z,A3LC6M2EMDBBXP,colorful,0
Chrome,900,null,null,956,76,2019-09-03T20:45:51.666Z,A3LC6M2EMDBBXP,red,1
Chrome,825,null,null,989,83,2019-09-03T20:45:51.666Z,A3LC6M2EMDBBXP,red,0
Chrome,975,null,null,1012,83,2019-09-03T20:45:51.666Z,A3LC6M2EMDBBXP,odd,0
Chrome,600,null,null,953,83,2019-09-03T20:45:51.666Z,A3LC6M2EMDBBXP,red,0
Chrome,1050,null,null,992,83,2019-09-03T20:45:51.666Z,A3LC6M2EMDBBXP,colorful,0
Chrome,450,null,null,1006,83,2019-09-03T20:45:51.666Z,A3LC6M2EMDBBXP,colorful,0
Chrome,675,null,null,995,83,2019-09-03T20:45:51.666Z,A3LC6M2EMDBBXP,odd,0
Chrome,900,null,null,982,83,2019-09-03T20:45:51.666Z,A3LC6M2EMDBBXP,odd,0
Chrome,1050,null,null,1018,76,2019-09-03T20:45:51.666Z,A3LC6M2EMDBBXP,red,1
Chrome,825,null,null,988,83,2019-09-03T20:45:51.666Z,A3LC6M2EMDBBXP,odd,0
Chrome,975,null,null,1029,76,2019-09-03T20:45:51.666Z,A3LC6M2EMDBBXP,colorful,1
Chrome,525,null,null,1043,83,2019-09-03T20:45:51.666Z,A3LC6M2EMDBBXP,red,0
Chrome,600,null,null,960,83,2019-09-03T20:45:51.666Z,A3LC6M2EMDBBXP,odd,0
Chrome,675,null,null,986,83,2019-09-03T20:45:51.666Z,A3LC6M2EMDBBXP,colorful,0
Chrome,450,null,null,1031,83,2019-09-03T20:45:51.666Z,A3LC6M2EMDBBXP,red,0
Chrome,750,2019-09-03T20:56:11.344Z,,1011,83,2019-09-03T20:45:51.666Z,A3LC6M2EMDBBXP,colorful,0
