X1.browser,X1.duration,X1.endTime,X1.feedback,X1.isi,X1.judgment,X1.startTime,X1.subjectID,X1.type,X1.correct
Chrome,450,null,null,980,83,2019-09-03T19:53:12.236Z,AZZA3J049G7R5,odd,0
Chrome,750,null,null,1009,83,2019-09-03T19:53:12.236Z,AZZA3J049G7R5,red,0
Chrome,900,null,null,1009,83,2019-09-03T19:53:12.236Z,AZZA3J049G7R5,odd,0
Chrome,825,null,null,1023,76,2019-09-03T19:53:12.236Z,AZZA3J049G7R5,colorful,1
Chrome,975,null,null,962,76,2019-09-03T19:53:12.236Z,AZZA3J049G7R5,odd,1
Chrome,1050,null,null,1014,76,2019-09-03T19:53:12.236Z,AZZA3J049G7R5,red,1
Chrome,525,null,null,958,83,2019-09-03T19:53:12.236Z,AZZA3J049G7R5,red,0
Chrome,600,null,null,996,83,2019-09-03T19:53:12.236Z,AZZA3J049G7R5,colorful,0
Chrome,675,null,null,969,83,2019-09-03T19:53:12.236Z,AZZA3J049G7R5,colorful,0
Chrome,675,null,null,1047,76,2019-09-03T19:53:12.236Z,AZZA3J049G7R5,colorful,1
Chrome,1050,null,null,1013,76,2019-09-03T19:53:12.236Z,AZZA3J049G7R5,red,1
Chrome,450,null,null,1041,83,2019-09-03T19:53:12.236Z,AZZA3J049G7R5,red,0
Chrome,750,null,null,964,83,2019-09-03T19:53:12.236Z,AZZA3J049G7R5,red,0
Chrome,600,null,null,971,76,2019-09-03T19:53:12.236Z,AZZA3J049G7R5,odd,1
Chrome,975,null,null,951,76,2019-09-03T19:53:12.236Z,AZZA3J049G7R5,colorful,1
Chrome,900,null,null,1018,83,2019-09-03T19:53:12.236Z,AZZA3J049G7R5,odd,0
Chrome,825,null,null,1046,76,2019-09-03T19:53:12.236Z,AZZA3J049G7R5,colorful,1
Chrome,525,null,null,966,83,2019-09-03T19:53:12.236Z,AZZA3J049G7R5,odd,0
Chrome,675,null,null,1004,76,2019-09-03T19:53:12.236Z,AZZA3J049G7R5,odd,1
Chrome,750,null,null,997,76,2019-09-03T19:53:12.236Z,AZZA3J049G7R5,red,1
Chrome,525,null,null,1011,83,2019-09-03T19:53:12.236Z,AZZA3J049G7R5,colorful,0
Chrome,975,null,null,971,76,2019-09-03T19:53:12.236Z,AZZA3J049G7R5,odd,1
Chrome,900,null,null,962,76,2019-09-03T19:53:12.236Z,AZZA3J049G7R5,red,1
Chrome,450,null,null,1019,83,2019-09-03T19:53:12.236Z,AZZA3J049G7R5,red,0
Chrome,600,null,null,1008,83,2019-09-03T19:53:12.236Z,AZZA3J049G7R5,odd,0
Chrome,1050,null,null,965,76,2019-09-03T19:53:12.236Z,AZZA3J049G7R5,colorful,1
Chrome,825,2019-09-03T20:04:07.696Z,The motion was almost nauseating! But thank you for the hit! ,1023,83,2019-09-03T19:53:12.236Z,AZZA3J049G7R5,colorful,0
