trialNumOriginal,cueCoords,cue1pos,cue2lag,cueEccentricity
179,"[-1, 0]",22,2,2
150,"[1, 0]",14,2,10
1,"[1, 0]",6,2,2
96,"[-1, 0]",18,2,10
116,"[-1, 0]",18,2,10
261,"[1, 0]",6,2,2
191,"[-1, 0]",14,2,2
280,"[-1, 0]",22,2,10
199,"[-1, 0]",22,2,2
68,"[-1, 0]",10,2,10
93,"[1, 0]",18,2,2
270,"[1, 0]",14,2,10
234,"[1, 0]",18,2,10
238,"[1, 0]",22,2,10
52,"[-1, 0]",14,2,10
106,"[1, 0]",10,2,10
192,"[-1, 0]",14,2,10
102,"[1, 0]",6,2,10
239,"[-1, 0]",22,2,2
276,"[-1, 0]",18,2,10
268,"[-1, 0]",10,2,10
148,"[-1, 0]",10,2,10
257,"[1, 0]",22,2,2
141,"[1, 0]",6,2,2
236,"[-1, 0]",18,2,10
14,"[1, 0]",18,2,10
269,"[1, 0]",14,2,2
260,"[-1, 0]",22,2,10
124,"[-1, 0]",6,2,10
72,"[-1, 0]",14,2,10
49,"[1, 0]",14,2,2
131,"[-1, 0]",14,2,2
214,"[1, 0]",18,2,10
13,"[1, 0]",18,2,2
267,"[-1, 0]",10,2,2
225,"[1, 0]",10,2,2
132,"[-1, 0]",14,2,10
211,"[-1, 0]",14,2,2
232,"[-1, 0]",14,2,10
71,"[-1, 0]",14,2,2
39,"[-1, 0]",22,2,2
178,"[1, 0]",22,2,10
165,"[1, 0]",10,2,2
173,"[1, 0]",18,2,2
100,"[-1, 0]",22,2,10
205,"[1, 0]",10,2,2
21,"[1, 0]",6,2,2
19,"[-1, 0]",22,2,2
210,"[1, 0]",14,2,10
156,"[-1, 0]",18,2,10
44,"[-1, 0]",6,2,10
166,"[1, 0]",10,2,10
81,"[1, 0]",6,2,2
33,"[1, 0]",18,2,2
158,"[1, 0]",22,2,10
89,"[1, 0]",14,2,2
143,"[-1, 0]",6,2,2
164,"[-1, 0]",6,2,10
61,"[1, 0]",6,2,2
201,"[1, 0]",6,2,2
186,"[1, 0]",10,2,10
5,"[1, 0]",10,2,2
200,"[-1, 0]",22,2,10
117,"[1, 0]",22,2,2
127,"[-1, 0]",10,2,2
153,"[1, 0]",18,2,2
229,"[1, 0]",14,2,2
197,"[1, 0]",22,2,2
112,"[-1, 0]",14,2,10
138,"[1, 0]",22,2,10
91,"[-1, 0]",14,2,2
207,"[-1, 0]",10,2,2
28,"[-1, 0]",10,2,10
67,"[-1, 0]",10,2,2
242,"[1, 0]",6,2,10
104,"[-1, 0]",6,2,10
17,"[1, 0]",22,2,2
160,"[-1, 0]",22,2,10
75,"[-1, 0]",18,2,2
155,"[-1, 0]",18,2,2
126,"[1, 0]",10,2,10
241,"[1, 0]",6,2,2
134,"[1, 0]",18,2,10
223,"[-1, 0]",6,2,2
109,"[1, 0]",14,2,2
111,"[-1, 0]",14,2,2
233,"[1, 0]",18,2,2
27,"[-1, 0]",10,2,2
92,"[-1, 0]",14,2,10
45,"[1, 0]",10,2,2
41,"[1, 0]",6,2,2
228,"[-1, 0]",10,2,10
101,"[1, 0]",6,2,2
66,"[1, 0]",10,2,10
174,"[1, 0]",18,2,10
278,"[1, 0]",22,2,10
107,"[-1, 0]",10,2,2
11,"[-1, 0]",14,2,2
215,"[-1, 0]",18,2,2
70,"[1, 0]",14,2,10
194,"[1, 0]",18,2,10
181,"[1, 0]",6,2,2
136,"[-1, 0]",18,2,10
125,"[1, 0]",10,2,2
176,"[-1, 0]",18,2,10
31,"[-1, 0]",14,2,2
12,"[-1, 0]",14,2,10
274,"[1, 0]",18,2,10
162,"[1, 0]",6,2,10
84,"[-1, 0]",6,2,10
222,"[1, 0]",6,2,10
56,"[-1, 0]",18,2,10
35,"[-1, 0]",18,2,2
227,"[-1, 0]",10,2,2
40,"[-1, 0]",22,2,10
216,"[-1, 0]",18,2,10
25,"[1, 0]",10,2,2
22,"[1, 0]",6,2,10
115,"[-1, 0]",18,2,2
94,"[1, 0]",18,2,10
108,"[-1, 0]",10,2,10
88,"[-1, 0]",10,2,10
26,"[1, 0]",10,2,10
172,"[-1, 0]",14,2,10
180,"[-1, 0]",22,2,10
144,"[-1, 0]",6,2,10
246,"[1, 0]",10,2,10
99,"[-1, 0]",22,2,2
80,"[-1, 0]",22,2,10
82,"[1, 0]",6,2,10
77,"[1, 0]",22,2,2
69,"[1, 0]",14,2,2
98,"[1, 0]",22,2,10
169,"[1, 0]",14,2,2
74,"[1, 0]",18,2,10
47,"[-1, 0]",10,2,2
105,"[1, 0]",10,2,2
271,"[-1, 0]",14,2,2
275,"[-1, 0]",18,2,2
37,"[1, 0]",22,2,2
208,"[-1, 0]",10,2,10
133,"[1, 0]",18,2,2
251,"[-1, 0]",14,2,2
135,"[-1, 0]",18,2,2
213,"[1, 0]",18,2,2
53,"[1, 0]",18,2,2
90,"[1, 0]",14,2,10
254,"[1, 0]",18,2,10
235,"[-1, 0]",18,2,2
182,"[1, 0]",6,2,10
140,"[-1, 0]",22,2,10
177,"[1, 0]",22,2,2
171,"[-1, 0]",14,2,2
36,"[-1, 0]",18,2,10
183,"[-1, 0]",6,2,2
122,"[1, 0]",6,2,10
48,"[-1, 0]",10,2,10
221,"[1, 0]",6,2,2
42,"[1, 0]",6,2,10
50,"[1, 0]",14,2,10
231,"[-1, 0]",14,2,2
252,"[-1, 0]",14,2,10
85,"[1, 0]",10,2,2
245,"[1, 0]",10,2,2
139,"[-1, 0]",22,2,2
123,"[-1, 0]",6,2,2
113,"[1, 0]",18,2,2
175,"[-1, 0]",18,2,2
253,"[1, 0]",18,2,2
76,"[-1, 0]",18,2,10
273,"[1, 0]",18,2,2
168,"[-1, 0]",10,2,10
29,"[1, 0]",14,2,2
217,"[1, 0]",22,2,2
18,"[1, 0]",22,2,10
121,"[1, 0]",6,2,2
219,"[-1, 0]",22,2,2
195,"[-1, 0]",18,2,2
118,"[1, 0]",22,2,10
212,"[-1, 0]",14,2,10
264,"[-1, 0]",6,2,10
167,"[-1, 0]",10,2,2
145,"[1, 0]",10,2,2
114,"[1, 0]",18,2,10
265,"[1, 0]",10,2,2
202,"[1, 0]",6,2,10
188,"[-1, 0]",10,2,10
230,"[1, 0]",14,2,10
16,"[-1, 0]",18,2,10
4,"[-1, 0]",6,2,10
23,"[-1, 0]",6,2,2
190,"[1, 0]",14,2,10
32,"[-1, 0]",14,2,10
38,"[1, 0]",22,2,10
206,"[1, 0]",10,2,10
249,"[1, 0]",14,2,2
